market_name,market_line,selection,n_rows,n_matches,mean_fair
1X2,0.0,away,1530,1530,0.32578510669338795
1X2,0.0,draw,1529,1529,0.2510256280486829
1X2,0.0,home,1529,1529,0.42363021679050444
BTTS,0.0,btts_no,509,509,0.4447307241833684
BTTS,0.0,btts_yes,509,509,0.5552692758166314
CorrectScore,0.0,cs_00,92,92,0.06753932962156098
CorrectScore,0.0,cs_01,98,98,0.08539105542766963
CorrectScore,0.0,cs_02,96,96,0.06342933210404642
CorrectScore,0.0,cs_03,84,84,0.036573996539501566
CorrectScore,0.0,cs_10,98,98,0.08770635510509031
CorrectScore,0.0,cs_11,99,99,0.11942270378755605
CorrectScore,0.0,cs_12,100,100,0.08185741293333582
CorrectScore,0.0,cs_13,85,85,0.040360559677046486
CorrectScore,0.0,cs_20,87,87,0.06669780215346405
CorrectScore,0.0,cs_21,99,99,0.0837002242408449
CorrectScore,0.0,cs_22,95,95,0.05617488523722961
CorrectScore,0.0,cs_23,79,79,0.025879735956848098
CorrectScore,0.0,cs_30,88,88,0.03544665106883387
CorrectScore,0.0,cs_31,92,92,0.041269542026939283
CorrectScore,0.0,cs_32,84,84,0.02667247278653501
CorrectScore,0.0,cs_33,71,71,0.012260034639675909
CorrectScore,0.0,cs_any_other_away,95,95,0.06748243839268679
CorrectScore,0.0,cs_any_other_draw,57,57,0.004448051289062728
CorrectScore,0.0,cs_any_other_home,94,94,0.07511275723747203
OverUnder,0.5,over_05,982,982,0.9728180832391354
OverUnder,0.5,under_05,408,408,0.06542314279208213
OverUnder,1.5,over_15,634,634,0.7754674128971499
OverUnder,1.5,under_15,631,631,0.22560009544089837
OverUnder,2.5,over_25,1141,1141,0.5351575281676899
OverUnder,2.5,under_25,1141,1141,0.4648424718323112
OverUnder,3.5,over_35,728,728,0.3201802302580301
OverUnder,3.5,under_35,728,728,0.6798197697419699
OverUnder,4.5,over_45,239,239,0.16880738608433207
OverUnder,4.5,under_45,255,255,0.8417844499052737
OverUnder,5.5,over_55,137,137,0.07966404936627293
OverUnder,5.5,under_55,294,294,0.9628776368599337
