model,container,trust,family,selection,n_bets,win_rate,mean_odds,p_model,p_market,stake_units,pnl_units,mean_payoff,flat_roi,kelly_roi,capital_share,efficiency,edge,calibration
m12_joint_hybrid_synergy,raw,flat_1.0,1X2_away,away,375,0.25866666666666666,4.5545275456562715,0.3256877971187441,0.25547595661954964,5476.62749826712,320.09464519755727,0.0356910059430219,3.5691005943021903,5.844740130652296,29.240982627193674,0.868192371474013,0.07021184049919449,-0.06702113045207747
m12_joint_hybrid_synergy,raw,flat_1.0,1X2_home,home,293,0.3890784982935154,3.3274898125023338,0.3976814659820083,0.32994414021047863,4647.152547280291,473.70929649110957,0.14367092355341435,14.367092355341434,10.193538767483416,24.812223753384437,1.5141738380874812,0.06773732577152969,-0.008602967688492946
m12_joint_hybrid_synergy,raw,flat_1.0,1X2_draw,draw,366,0.24863387978142076,4.129148695775375,0.2536945358704581,0.24746823904475565,2528.6866259824897,260.3598180203326,0.011781409953712426,1.1781409953712427,10.296246887420187,13.501243552417431,1.5294303600583887,0.006226296825702443,-0.00506065608903733
m12_joint_hybrid_synergy,raw,flat_1.0,O/U 2.5_under_25,under_25,227,0.4889867841409692,2.2512051091156606,0.4936938564513877,0.44875251115073433,1850.7304273176883,354.7633797298905,0.07884852392343557,7.884852392343557,19.168830559729777,9.881478389746,2.847386212221207,0.04494134530065336,-0.004707072310418503
m12_joint_hybrid_synergy,raw,flat_1.0,O/U 3.5_under_35,under_35,121,0.6694214876033058,1.5411428811705885,0.7094428831190684,0.65119190721709,1640.7150570171336,-16.852628084099276,0.007421560596094597,0.7421560596094597,-1.027151424741468,8.760157687115543,-0.15257565116238653,0.058250975901978475,-0.04002139551576267
m12_joint_hybrid_synergy,raw,flat_1.0,O/U 1.5_under_15,under_15,116,0.1724137931034483,4.981618303457662,0.24873190390208622,0.20840577316756442,574.3346885936925,-7.779807208749299,-0.1837510323698756,-18.37510323698756,-1.3545772810273433,3.0665059211488703,-0.2012123098155092,0.04032613073452179,-0.07631811079863793
m12_joint_hybrid_synergy,raw,flat_1.0,BTTS_btts_yes,btts_yes,62,0.5645161290322581,1.8637270712846585,0.5446513449338184,0.5399832965423409,547.3569748992127,-39.24192880233556,0.03071112442911804,3.071112442911804,-7.169348451175095,2.9224656595624667,-1.0649530166629637,0.004668048391477497,0.019864784098439725
m12_joint_hybrid_synergy,raw,flat_1.0,O/U 3.5_over_35,over_35,86,0.2558139534883721,3.7315903112496827,0.301178029062023,0.2720773512194873,458.3088775644488,-9.273803063433792,-0.047630517898694,-4.7630517898694,-2.0234831829391484,2.4470172439135336,-0.30057327168755754,0.029100677842535727,-0.04536407557365091
m12_joint_hybrid_synergy,raw,flat_1.0,O/U 2.5_over_25,over_25,59,0.4745762711864407,2.1171647226586607,0.5152415219824824,0.47358987506449923,402.43376862309174,-44.23027944761925,-0.014816823256856194,-1.4816823256856193,-10.990697823135239,2.148687096324758,-1.6325858453790871,0.041651646917983176,-0.04066525079604172
m12_joint_hybrid_synergy,raw,flat_1.0,O/U 1.5_over_15,over_15,46,0.6956521739130435,1.3708214823160303,0.7536417411152698,0.7288617735404622,342.8869557427049,-10.837873862095975,-0.0529925158030441,-5.29925158030441,-3.1607717005800846,1.8307528710207575,-0.4695089631142101,0.024779967574807604,-0.057989567202226366
m12_joint_hybrid_synergy,raw,flat_1.0,BTTS_btts_no,btts_no,49,0.3877551020408163,2.3570480378732475,0.45811570642900457,0.42570718205201286,260.05337488818566,-19.84032813391769,-0.09049946913843948,-9.049946913843948,-7.629329226143815,1.3884851981725246,-1.133279715699278,0.03240852437699171,-0.07036060438818825
m12_joint_hybrid_synergy,raw,canonical_P1,1X2_home,home,293,0.3890784982935154,3.3274898125023338,0.3976814659820083,0.32994414021047863,5515.246842015362,601.841093695327,0.14367092355341435,14.367092355341434,10.912314732868863,36.46744934592622,1.0478281651641248,0.06773732577152969,-0.008602967688492946
m12_joint_hybrid_synergy,raw,canonical_P1,1X2_away,away,375,0.25866666666666666,4.5545275456562715,0.3256877971187441,0.25547595661954964,5019.187148338712,214.1642398235697,0.0356910059430219,3.5691005943021903,4.2669108262770274,33.187445337057866,0.4097196105011322,0.07021184049919449,-0.06702113045207747
m12_joint_hybrid_synergy,raw,canonical_P1,O/U 2.5_under_25,under_25,227,0.4889867841409692,2.2512051091156606,0.4936938564513877,0.44875251115073433,2313.7913337933587,441.8608244270617,0.07884852392343557,7.884852392343557,19.09683116077068,15.299055632353028,1.8337262116686326,0.04494134530065336,-0.004707072310418503
