model,spec,method,w_base,sigma,w_max,identity_spec,head_logloss,head_market_logloss,head_delta_logloss,head_ece,head_market_ece,head_mce,head_brier,head_rps,head_market_rps,head_n_obs,wide_logloss,wide_market_logloss,wide_ece,wide_market_ece,wide_brier,wide_market_brier,wide_n_obs,crps_all,crps_home,crps_away,lpd_all,lpd_all_market,lpd_small,lpd_small_market,n_small,lpd_large,lpd_large_market,n_large,n_shifted,w_median,w_p10,w_p90,var_retention_median,price,rates
m12_joint_hybrid_synergy,uncalibrated,static_geometric,1.0,NaN,1.0,true,0.6348776748799607,0.633061118131463,0.0018165567484976775,0.01506271590749618,0.018347074313313467,0.19640169051638687,0.22195660379177787,0.22464227757688746,0.21091067161472066,2148,0.6344651650773406,0.6313810201519001,0.013269705687567725,0.019667429027437587,0.22169788506488966,0.22020097994061438,2442,0.6283192113476559,0.6383234483339266,0.6183149743613853,-0.6344651650773397,-0.6313810201518996,-0.6376816569297239,-0.6370898801032477,824,-0.6547642952354207,-0.6483062421337173,875,-1,NaN,NaN,NaN,NaN,t25,none
m12_joint_hybrid_synergy,uncalibrated,static_geometric,1.0,NaN,1.0,true,0.6348776748799607,0.6320549140397302,0.002822760840230476,0.01506271590749618,0.011926728486626454,0.19640169051638687,0.22195660379177787,0.22464227757688746,0.2102948013034943,2148,0.6344651650773406,0.6304956888188648,0.013269705687567725,0.015801220370742747,0.22169788506488966,0.21981282822316894,2442,0.6283192113476559,0.6383234483339266,0.6183149743613853,-0.6344651650773397,-0.6304956888188656,-0.6376816569297239,-0.6366210752613237,824,-0.6547642952354207,-0.646466320345068,875,-1,NaN,NaN,NaN,NaN,close,none
m05_joint_production_wealth,uncalibrated,static_geometric,1.0,NaN,1.0,true,0.633809660720174,0.633061118131463,0.000748542588710932,0.017940470262691816,0.018347074313313467,0.12503165820865836,0.22146339756741482,0.22403520433970808,0.21091067161472066,2148,0.6334251458234493,0.6313810201519001,0.014284294446890174,0.019667429027437587,0.22120289182162403,0.22020097994061438,2442,0.6270457522503458,0.63771835774312,0.6163731467575714,-0.6334251458234498,-0.6313810201518996,-0.6397852742540557,-0.6402389761854332,851,-0.65708074199572,-0.6510763235992629,859,-1,NaN,NaN,NaN,NaN,t25,none
m05_joint_production_wealth,uncalibrated,static_geometric,1.0,NaN,1.0,true,0.633809660720174,0.6320549140397302,0.0017547466804437306,0.017940470262691816,0.011926728486626454,0.12503165820865836,0.22146339756741482,0.22403520433970808,0.2102948013034943,2148,0.6334251458234493,0.6304956888188648,0.014284294446890174,0.015801220370742747,0.22120289182162403,0.21981282822316894,2442,0.6270457522503458,0.63771835774312,0.6163731467575714,-0.6334251458234498,-0.6304956888188656,-0.6397852742540557,-0.6392909809508557,851,-0.65708074199572,-0.6503244398266417,859,-1,NaN,NaN,NaN,NaN,close,none
m12_joint_hybrid_synergy,inv_w0.25_s0.15,inverse_gaussian,0.25,0.15,1.0,false,0.6324872854926318,0.633061118131463,-0.000573832638831262,0.012868523131570365,0.018347074313313467,0.09770806416393518,0.22084401279092972,0.22252176525170594,0.21091067161472066,2148,0.6321655724853847,0.6313810201519001,0.010553439660305345,0.019667429027437587,0.22063249842450114,0.22020097994061438,2442,0.626678619063671,0.6364049652353773,0.6169522728919646,-0.632165572485385,-0.6313810201518996,-0.6371138026755956,-0.6370898801032477,824,-0.6499438933907146,-0.6483062421337173,875,580,0.44976068685560605,0.2566223624806386,0.8951013517608828,0.20228473005627923,t25,t25
m12_joint_hybrid_synergy,inv_w0.25_s0.25,inverse_gaussian,0.25,0.25,1.0,false,0.6310341829115725,0.633061118131463,-0.002026935219890502,0.014456262948330707,0.018347074313313467,0.12472562889380912,0.22017117358276803,0.2211699817354133,0.21091067161472066,2148,0.6304765501339743,0.6313810201519001,0.010668434577342465,0.019667429027437587,0.21986022518572013,0.22020097994061438,2442,0.6250074586254983,0.6336877858654993,0.6163271313854976,-0.6304765501339736,-0.6313810201518996,-0.6370831709803252,-0.6370898801032477,824,-0.6459064893205798,-0.6483062421337173,875,580,0.32913091150619533,0.25239081943273284,0.6305854559723417,0.10832716743076856,t25,t25
m12_joint_hybrid_synergy,inv_w0.25_s0.35,inverse_gaussian,0.25,0.35,1.0,false,0.6306418226148336,0.633061118131463,-0.0024192955166294494,0.0133186874350188,0.018347074313313467,0.07784262225102978,0.22001023668360054,0.2205386974354024,0.21091067161472066,2148,0.629852358664521,0.6313810201519001,0.010780380821118105,0.019667429027437587,0.21959082829029905,0.22020097994061438,2442,0.6242468876966478,0.6320154543041909,0.616478321089105,-0.629852358664522,-0.6313810201518996,-0.6371849670723639,-0.6370898801032477,824,-0.6441843329842408,-0.6483062421337173,875,580,0.2914746325456702,0.25122075961635265,0.47742449018766425,0.0849574644726673,t25,t25
m12_joint_hybrid_synergy,inv_w0.25_s0.50,inverse_gaussian,0.25,0.5,1.0,false,0.6306431397492854,0.633061118131463,-0.00241797838217761,0.013171718777692392,0.018347074313313467,0.20638317845017085,0.22003708230157817,0.22020483483511663,0.21091067161472066,2148,0.6296776377898333,0.6313810201519001,0.011463243281444664,0.019667429027437587,0.21952403745536023,0.22020097994061438,2442,0.6238450658279701,0.6307681508308338,0.6169219808251061,-0.629677637789833,-0.6313810201518996,-0.6373018171655953,-0.6370898801032477,824,-0.6435181068940259,-0.6483062421337173,875,580,0.27061741127257655,0.2505984206919564,0.37168968067653135,0.07323378406120573,t25,t25
m12_joint_hybrid_synergy,inv_w0.25_s0.75,inverse_gaussian,0.25,0.75,1.0,false,0.6308217588158165,0.633061118131463,-0.0022393593156465608,0.007715810689677019,0.018347074313313467,0.08854728791893621,0.220138899295487,0.22007854601809476,0.21091067161472066,2148,0.6297564738295159,0.6313810201519001,0.01005358494294777,0.019667429027437587,0.2195635460509638,0.22020097994061438,2442,0.6237116405294828,0.6300053339777353,0.61741794708123,-0.6297564738295155,-0.6313810201518996,-0.6373916851384892,-0.6370898801032477,824,-0.6435321346554655,-0.6483062421337173,875,580,0.259234280904912,0.2502660237240908,0.3067510649295727,0.06720241255466455,t25,t25
m12_joint_hybrid_synergy,inv_w0.25_s1.00,inverse_gaussian,0.25,1.0,1.0,false,0.6309383490015218,0.633061118131463,-0.0021227691299412488,0.01140674869906382,0.018347074313313467,0.08551398434781679,0.2201995427801059,0.22005351089915476,0.21091067161472066,2148,0.62984074189566,0.6313810201519001,0.013735183517385396,0.019667429027437587,0.21960072324473676,0.22020097994061438,2442,0.6237014321261045,0.6297366515527957,0.6176662126994135,-0.6298407418956588,-0.6313810201518996,-0.6374283968023384,-0.6370898801032477,824,-0.6436709607788795,-0.6483062421337173,875,580,0.25520835612438736,0.2501496499572522,0.2824709645318924,0.06513130508637,t25,t25
