model,container,rates,price,panel,trust,window,n_bets,n_slates,total_return_pct,flat_roi_pct,max_drawdown_pct,sharpe_ann,calmar,win_rate,mean_exposure
m12_joint_hybrid_synergy,raw,none,close,A,flat_1.0,full,1249,98,79.87683898102867,9.290922520707692,-23.41589262106682,1.017264506960716,3.411223320573525,0.33626901521216973,0.07525656224734457
m12_joint_hybrid_synergy,raw,none,close,A,canonical_P1,full,1025,98,121.1281837120465,14.384252199949234,-18.626655312345388,1.4621136216067232,6.502948687291437,0.3121951219512195,0.06260226715073768
m12_joint_hybrid_synergy,raw,none,t25,A,flat_1.0,full,1239,98,113.60023646226023,11.761146483461504,-20.12101883554369,1.2514578611414897,5.645849118812309,0.3470540758676352,0.07534921105344966
m12_joint_hybrid_synergy,raw,none,t25,A,canonical_P1,full,1014,98,159.32480416121027,17.07481921784731,-15.377626675584665,1.666299419569725,10.360818839110793,0.3224852071005917,0.0629131068893884
m12_joint_hybrid_synergy,inv_t25,t25,close,A,flat_1.0,full,1085,98,41.83251761522553,10.905217330393421,-13.213183994080268,1.1931081776982249,3.1659679933290272,0.34101382488479265,0.03507364284777103
m12_joint_hybrid_synergy,inv_t25,t25,close,A,canonical_P1,full,905,98,56.4231855200221,16.758824333857223,-11.68095869233,1.6190747544806596,4.830355710192771,0.32044198895027626,0.02864990527478381
m12_joint_hybrid_synergy,inv_t25,t25,t25,A,flat_1.0,full,1050,98,48.373773859963975,12.907994722670765,-12.058120569165878,1.2964816351757187,4.011717546071132,0.3438095238095238,0.03336863801345175
m12_joint_hybrid_synergy,inv_t25,t25,t25,A,canonical_P1,full,885,98,66.14285949120654,19.61651196215427,-7.426551356098539,1.8146505082149993,8.906268376760273,0.3254237288135593,0.02765646380489031
m12_joint_hybrid_synergy,std_t25,t25,close,A,flat_1.0,full,1207,98,39.633554285818384,8.056960643182382,-13.695879931243148,0.9903212471763981,2.8938304427892954,0.33140016570008285,0.04651236466421755
m12_joint_hybrid_synergy,std_t25,t25,close,A,canonical_P1,full,1005,98,56.09975444458841,12.35965526729851,-11.261519460759052,1.3688778889543765,4.981543977264251,0.3124378109452736,0.0393786553386704
m12_joint_hybrid_synergy,std_t25,t25,t25,A,flat_1.0,full,1186,98,57.63978325770369,10.870348836138366,-10.39749043889558,1.3005090975109137,5.543624550216578,0.34317032040472173,0.04614387362907626
m12_joint_hybrid_synergy,std_t25,t25,t25,A,canonical_P1,full,993,98,72.37353345668592,15.050515905332976,-9.082823870270065,1.619849636975983,7.968175370391058,0.32225579053373615,0.039233972598129635
m12_joint_hybrid_synergy,sta_t25,t25,close,A,flat_1.0,full,1096,98,32.29215370546608,9.578413193436262,-11.494327745755264,1.1464202549829934,2.8093990722851307,0.3467153284671533,0.031684683399613944
m12_joint_hybrid_synergy,sta_t25,t25,close,A,canonical_P1,full,908,98,43.65033121366007,14.558743089566489,-8.899446796642344,1.5347837224988443,4.904836470299347,0.32599118942731276,0.026562249090765933
m12_joint_hybrid_synergy,sta_t25,t25,t25,A,flat_1.0,full,1063,98,39.053063747340744,11.718875266401207,-8.095625567772553,1.3320459601728072,4.823971096539472,0.34242709313264347,0.03029317447232298
m12_joint_hybrid_synergy,sta_t25,t25,t25,A,canonical_P1,full,889,98,51.01901416996033,16.985167980989424,-5.979291936102207,1.7599769547410624,8.532618028217351,0.3217097862767154,0.025769662539059615
m12_joint_hybrid_synergy,std_close,close,close,A,flat_1.0,full,1235,98,56.47830823570317,9.388804384941208,-16.691555050779918,1.0936420631085808,3.383645685730414,0.3319838056680162,0.05404478253841289
m12_joint_hybrid_synergy,std_close,close,close,A,canonical_P1,full,1027,98,82.04699644983265,14.370676799667603,-13.932990463978193,1.5100405177662313,5.888685322935785,0.31158714703018503,0.04590976184276079
m05_joint_production_wealth,raw,none,close,A,flat_1.0,full,1241,98,76.03986532845268,9.473036804716248,-22.514629764232318,1.0409566770967622,3.3773535751963726,0.33521353746978244,0.0703299178621908
m05_joint_production_wealth,raw,none,close,A,canonical_P1,full,1008,98,108.97142647511737,14.361560610541247,-17.824400829053154,1.4464651068506584,6.113609513173522,0.310515873015873,0.057949515056374946
m05_joint_production_wealth,raw,none,t25,A,flat_1.0,full,1245,98,98.76971617242032,11.298991360733869,-20.781646498246882,1.1935691822682966,4.752737766988406,0.3413654618473896,0.07094687271101507
m05_joint_production_wealth,raw,none,t25,A,canonical_P1,full,1010,98,135.57961557675276,16.593633050882126,-12.972198712056196,1.6009815882155625,10.451552476662787,0.31386138613861386,0.058061527084638354
m05_joint_production_wealth,inv_t25,t25,close,A,flat_1.0,full,1095,98,40.800233791453834,11.073070387624307,-11.810473098288249,1.228763252267077,3.4545808158495546,0.33972602739726027,0.03365068893889637
m05_joint_production_wealth,inv_t25,t25,close,A,canonical_P1,full,909,98,52.8607143069237,16.637994469385394,-10.819542361071168,1.6348745530673057,4.885670072064889,0.32233223322332233,0.02728230202839934
m05_joint_production_wealth,inv_t25,t25,t25,A,flat_1.0,full,1034,98,46.6852983020769,13.136597877218223,-11.235028910555688,1.3545677802598264,4.155334060441491,0.3413926499032882,0.031611679691009295
m05_joint_production_wealth,inv_t25,t25,t25,A,canonical_P1,full,854,98,62.165376663457494,20.00199952623152,-5.4966914840355745,1.9006841482361647,11.309599027707621,0.3185011709601874,0.025681225473065814
m05_joint_production_wealth,std_t25,t25,close,A,flat_1.0,full,1192,98,37.77950428082257,8.126999625970488,-15.143445727353596,0.9637440507102708,2.494775955288794,0.33557046979865773,0.044328606968261505
m05_joint_production_wealth,std_t25,t25,close,A,canonical_P1,full,983,98,53.229686758735006,12.500745974975269,-10.00824328863343,1.346705947391195,5.318584413229549,0.31637843336724314,0.03729112338788673
m05_joint_production_wealth,std_t25,t25,t25,A,flat_1.0,full,1182,98,48.78378474859202,9.956977016387702,-11.176662056100648,1.1509164221577906,4.364790176505692,0.34348561759729274,0.044333068132772775
m05_joint_production_wealth,std_t25,t25,t25,A,canonical_P1,full,982,98,64.68654901896511,14.617254660417066,-7.5477404654397935,1.5382573654001022,8.570319728819126,0.32077393075356414,0.037040766163799116
m05_joint_production_wealth,sta_t25,t25,close,A,flat_1.0,full,1090,98,29.991799223051217,9.33418591691426,-12.263801214032577,1.0996914223131702,2.445554905825918,0.3339449541284404,0.03050940579829156
m05_joint_production_wealth,sta_t25,t25,close,A,canonical_P1,full,905,98,39.08281099047346,13.85593524095525,-9.216031180612573,1.4540530556900875,4.240742053118325,0.32044198895027626,0.025433646613696695
m05_joint_production_wealth,sta_t25,t25,t25,A,flat_1.0,full,1064,98,36.03611497222312,11.444905242255436,-7.95822277346947,1.299636448803048,4.528161123153983,0.34210526315789475,0.028924173424148842
m05_joint_production_wealth,sta_t25,t25,t25,A,canonical_P1,full,883,98,46.629786040306186,16.772184243525732,-4.721500967045646,1.7431240376623254,9.876051358617753,0.32163080407701017,0.02417909709667624
m05_joint_production_wealth,std_close,close,close,A,flat_1.0,full,1185,98,35.463362124769795,8.975704401576019,-12.726109915819887,0.9982142913142121,2.7866616239645334,0.3358649789029536,0.03760551800165149
m05_joint_production_wealth,std_close,close,close,A,canonical_P1,full,992,98,50.132170630266074,13.694590028935677,-9.308977351817521,1.3831498226020214,5.385357460395805,0.31955645161290325,0.03220382623728241
m12_joint_hybrid_synergy,raw,none,t25_full,B,flat_1.0,full,1592,99,111.70250368646673,9.787065500851556,-23.44618631203682,1.2200695848572256,4.764207799079069,0.37248743718592964,0.08900712097281085
m12_joint_hybrid_synergy,raw,none,t25_full,B,canonical_P1,full,1127,99,151.52046006000467,15.042082507640986,-16.148567670505155,1.5922465968934099,9.382903991959111,0.32741792369121564,0.0687811318492692
m12_joint_hybrid_synergy,inv_t25,t25,t25_full,B,flat_1.0,full,1318,99,41.13247666000917,9.204465460414692,-14.39955047004649,1.0872367317654987,2.856511163009686,0.36949924127465855,0.041056646020666304
m12_joint_hybrid_synergy,inv_t25,t25,t25_full,B,canonical_P1,full,975,99,65.64313989752613,17.436264685978845,-7.760690932994596,1.7718280471304764,8.458414394322052,0.3333333333333333,0.03067181113394512
m12_joint_hybrid_synergy,std_t25,t25,t25_full,B,flat_1.0,full,1503,99,63.34625157670182,9.628370786011148,-12.104950278779421,1.3962476311593353,5.233086474361728,0.3712574850299401,0.055348623145775135
m12_joint_hybrid_synergy,std_t25,t25,t25_full,B,canonical_P1,full,1103,99,72.85353709998623,13.616918961066057,-11.35796612589611,1.6062981211761567,6.414311884051186,0.329102447869447,0.043200668106486075
m12_joint_hybrid_synergy,sta_t25,t25,t25_full,B,flat_1.0,full,1323,99,36.779783427838254,9.004647660090942,-9.100370735527635,1.2394260133658888,4.041569788387943,0.36583522297808013,0.037254713272118295
m12_joint_hybrid_synergy,sta_t25,t25,t25_full,B,canonical_P1,full,980,99,49.94189553757125,14.90142648465128,-6.605685670235176,1.6966452518647137,7.560440812769285,0.32755102040816325,0.02863073820169018
m05_joint_production_wealth,raw,none,t25_full,B,flat_1.0,full,1595,99,93.23398562246072,9.023408780998404,-22.73179591720139,1.1325702219683647,4.10147908955621,0.3711598746081505,0.08497536024447168
m05_joint_production_wealth,raw,none,t25_full,B,canonical_P1,full,1113,99,130.15276802337246,14.66887912841222,-16.0657856083645,1.5444444505204973,8.101238943186797,0.3225516621743037,0.06348657466852299
m05_joint_production_wealth,inv_t25,t25,t25_full,B,flat_1.0,full,1313,99,41.47534330559637,9.54132435803695,-12.378978664815994,1.1997966109164473,3.3504656909603674,0.36633663366336633,0.03935119733446687
m05_joint_production_wealth,inv_t25,t25,t25_full,B,canonical_P1,full,944,99,63.905023613587005,18.28475857794648,-6.860429425122247,1.9432558790864105,9.315018004495874,0.3294491525423729,0.0283997316835437
m05_joint_production_wealth,std_t25,t25,t25_full,B,flat_1.0,full,1497,99,52.78645136073268,8.583474816176386,-13.685827059516786,1.2056956779779326,3.85701581140661,0.3700734802939212,0.054192569204653936
m05_joint_production_wealth,std_t25,t25,t25_full,B,canonical_P1,full,1078,99,63.011300759544795,12.916433000914441,-10.835585223383786,1.4841650866716536,5.815218971612438,0.32560296846011133,0.040764721095804986
m05_joint_production_wealth,sta_t25,t25,t25_full,B,flat_1.0,full,1343,99,35.272328300846965,8.909701252194028,-9.417256481772137,1.2581534388484035,3.7454993786268234,0.3670886075949367,0.03619007390650739
m05_joint_production_wealth,sta_t25,t25,t25_full,B,canonical_P1,full,972,99,46.998706568524675,15.056902165522002,-5.7084722348342245,1.7408355900653958,8.233149717665137,0.32613168724279834,0.026845181416169876
m12_joint_hybrid_synergy,raw,none,t25_full,B,flat_1.0,evaluation,843,50,6.533937086360697,2.4902062217070413,-23.446186312036836,0.20942899803456216,0.27867803315229545,0.3760379596678529,0.1004136173486954
m12_joint_hybrid_synergy,raw,none,t25_full,B,canonical_P1,evaluation,554,50,31.77288292601428,9.100833888870854,-16.148567670505123,0.9414799212691509,1.9675356709218552,0.3303249097472924,0.0736297074918205
m12_joint_hybrid_synergy,inv_t25,t25,t25_full,B,flat_1.0,evaluation,710,50,0.10856546689046453,0.7261646986258662,-14.399550470046488,0.006940174233751854,0.0075395038974514625,0.37183098591549296,0.04842178363974292
m12_joint_hybrid_synergy,inv_t25,t25,t25_full,B,canonical_P1,evaluation,489,50,15.21561801526634,9.069274746688269,-7.760690932994582,1.0104025474465381,1.9606009499202102,0.3292433537832311,0.034215371160994906
m12_joint_hybrid_synergy,std_t25,t25,t25_full,B,flat_1.0,evaluation,788,50,12.530572323630729,4.613660470335375,-11.260120268553624,0.6838770713966487,1.1128275741978637,0.36928934010152287,0.05995729006643513
m12_joint_hybrid_synergy,std_t25,t25,t25_full,B,canonical_P1,evaluation,540,50,24.62695934529271,10.883874808540893,-8.607005712330727,1.2691808750269442,2.86126908339461,0.32222222222222224,0.044294669580567464
m12_joint_hybrid_synergy,sta_t25,t25,t25_full,B,flat_1.0,evaluation,707,50,3.7530127087403997,2.235687228176221,-9.100370735527608,0.3002534016209097,0.41240217764851456,0.36633663366336633,0.04205524656298414
m12_joint_hybrid_synergy,sta_t25,t25,t25_full,B,canonical_P1,evaluation,489,50,13.934170870318141,9.195519801963599,-6.464196230196347,1.1015551375932804,2.1555921841028174,0.32719836400818,0.03047328073243304
m05_joint_production_wealth,raw,none,t25_full,B,flat_1.0,evaluation,848,50,9.350998001128152,3.051963629471994,-22.731795917201385,0.304000902172655,0.41136204262911563,0.375,0.09705999250451977
m05_joint_production_wealth,raw,none,t25_full,B,canonical_P1,evaluation,541,50,30.09058386765606,9.214553563420408,-16.0657856083645,0.944673727804912,1.8729606258401508,0.3197781885397412,0.06873658308812551
m05_joint_production_wealth,inv_t25,t25,t25_full,B,flat_1.0,evaluation,708,50,6.1958609390761366,3.1705461183900954,-12.37897866481599,0.4080009616002238,0.5005147118224099,0.3686440677966102,0.04718865949468712
m05_joint_production_wealth,inv_t25,t25,t25_full,B,canonical_P1,evaluation,472,50,18.840392958027774,11.40661699897952,-6.860429425122254,1.3514361647291524,2.7462410573069973,0.326271186440678,0.03225903205534817
m05_joint_production_wealth,std_t25,t25,t25_full,B,flat_1.0,evaluation,794,50,8.872302115347441,3.5399453234885208,-13.685827059516779,0.4854483215789404,0.6482839565898114,0.3690176322418136,0.05977870582185565
m05_joint_production_wealth,std_t25,t25,t25_full,B,canonical_P1,evaluation,526,50,19.987298283479117,9.544902035028507,-9.078704520775085,1.0813064690218208,2.20155840932388,0.3155893536121673,0.042294065224050555
m05_joint_production_wealth,sta_t25,t25,t25_full,B,flat_1.0,evaluation,721,50,6.651454581252403,3.5750773832541105,-9.417256481772128,0.5377721446004734,0.7063049194982465,0.36893203883495146,0.04146549369100967
m05_joint_production_wealth,sta_t25,t25,t25_full,B,canonical_P1,evaluation,481,50,14.429271757939022,9.900723187497011,-5.708472234834228,1.2106707330557887,2.527694129768863,0.32224532224532226,0.028961226779255406
