model,container,form,scheme,trust,panel,n_bets,n_matched,n_unmatched,mean_clv_pct,median_clv_pct,stake_weighted_clv_pct,pct_positive,mean_fair_gain
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,P,1592,1226,366,0.2931729111503839,0.178572015175249,0.9901784026628769,50.97879282218597,0.0017806705526320777
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,P,1127,1009,118,0.31416193944077686,0.1658674261280968,1.02867230697595,50.74331020812686,0.0018594658268927089
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,P,1503,1168,335,0.40132902838116336,0.5127405295074161,1.0748713364676858,52.73972602739726,0.002126565124967677
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,P,1103,983,120,0.3973399442350281,0.5009628199547533,1.062578296879111,52.0854526958291,0.0020736997131802406
m12_joint_hybrid_synergy,std_B_full,std,B_full,flat_1.0,P,1495,1165,330,0.39595104479299936,0.4723248955546211,1.0760885414232946,52.532188841201716,0.0021043341618681402
m12_joint_hybrid_synergy,std_B_full,std,B_full,canonical_P1,P,1100,982,118,0.3929247711468782,0.4660710914935584,1.0624034909108968,51.93482688391039,0.0020763280893614684
m12_joint_hybrid_synergy,std_B_anch,std,B_anch,flat_1.0,P,1502,1167,335,0.39380842311777603,0.4982104208838045,1.073949849197898,52.52784918594687,0.0020986960725804245
m12_joint_hybrid_synergy,std_B_anch,std,B_anch,canonical_P1,P,1105,986,119,0.38871464301912284,0.4660710914935584,1.061390179160395,51.926977687626774,0.0020427290253796464
m12_joint_hybrid_synergy,std_C_sqrt,std,C_sqrt,flat_1.0,P,1500,1165,335,0.3922753250787649,0.5009628199547533,1.0748803870868935,52.61802575107296,0.002110343902599675
m12_joint_hybrid_synergy,std_C_sqrt,std,C_sqrt,canonical_P1,P,1102,983,119,0.3891280102698743,0.4982104208838045,1.0622762933632692,51.98372329603255,0.0020549948471062446
m12_joint_hybrid_synergy,std_D_sup,std,D_sup,flat_1.0,P,1496,1164,332,0.3965907520650898,0.5028404180967505,1.0760923662242694,52.66323024054983,0.002135432200619865
m12_joint_hybrid_synergy,std_D_sup,std,D_sup,canonical_P1,P,1099,982,117,0.394240036438177,0.4995866204192789,1.0629460208469763,52.03665987780041,0.002084676547554318
m12_joint_hybrid_synergy,std_D_sup_anch,std,D_sup_anch,flat_1.0,P,1501,1166,335,0.3935883162541656,0.5127405295074161,1.074169979303495,52.74442538593482,0.002099851377058588
m12_joint_hybrid_synergy,std_D_sup_anch,std,D_sup_anch,canonical_P1,P,1102,983,119,0.39040174587109366,0.5009628199547533,1.061612097510456,52.0854526958291,0.0020493614548630907
m12_joint_hybrid_synergy,std_D_tot,std,D_tot,flat_1.0,P,1499,1167,332,0.3960212396605048,0.4982104208838045,1.0760262447942823,52.52784918594687,0.0021049039592096943
m12_joint_hybrid_synergy,std_D_tot,std,D_tot,canonical_P1,P,1102,983,119,0.3943728367409623,0.4982104208838045,1.0629848868287903,51.98372329603255,0.0020687480151448663
m12_joint_hybrid_synergy,inv_A_pool,inv,A_pool,flat_1.0,P,1318,1028,290,0.6017288284847649,0.7382586902037747,1.1073326824401695,55.93385214007782,0.0027111579680423265
m12_joint_hybrid_synergy,inv_A_pool,inv,A_pool,canonical_P1,P,975,871,104,0.5726440354105045,0.6993006993007089,1.0558979667082282,54.99425947187141,0.002586606802391645
m12_joint_hybrid_synergy,inv_B_full,inv,B_full,flat_1.0,P,1316,1025,291,0.5537245672702676,0.6659758541745386,1.0878161586263664,55.21951219512195,0.002588332814019355
m12_joint_hybrid_synergy,inv_B_full,inv,B_full,canonical_P1,P,967,865,102,0.5468809278343897,0.6659758541745386,1.0349301281911407,54.566473988439306,0.0025733299598433837
m12_joint_hybrid_synergy,inv_B_anch,inv,B_anch,flat_1.0,P,1328,1038,290,0.5932440444801323,0.6978949003454527,1.103188074776288,55.78034682080925,0.0026785129310694174
m12_joint_hybrid_synergy,inv_B_anch,inv,B_anch,canonical_P1,P,984,879,105,0.553412130576984,0.6964891013901964,1.0481178189025053,54.948805460750854,0.002537029447082775
m12_joint_hybrid_synergy,inv_C_sqrt,inv,C_sqrt,flat_1.0,P,1311,1024,287,0.5960732328148819,0.7119691902300662,1.1042951997964428,55.859375,0.002699885167257185
m12_joint_hybrid_synergy,inv_C_sqrt,inv,C_sqrt,canonical_P1,P,973,869,104,0.569936558375726,0.6964891013901964,1.0515224533635243,54.890678941311855,0.0025935193147935656
m12_joint_hybrid_synergy,inv_D_sup,inv,D_sup,flat_1.0,P,1312,1025,287,0.5428476197121045,0.6711409395973256,1.0833843392048503,55.31707317073171,0.0025354619144101875
m12_joint_hybrid_synergy,inv_D_sup,inv,D_sup,canonical_P1,P,970,867,103,0.5206338669761149,0.6589076797744564,1.0298148519477097,54.44059976931949,0.002460671437844334
m12_joint_hybrid_synergy,inv_D_sup_anch,inv,D_sup_anch,flat_1.0,P,1320,1033,287,0.5740188851551756,0.6964891013901964,1.0910279354555468,55.663117134559535,0.0026668220171308724
m12_joint_hybrid_synergy,inv_D_sup_anch,inv,D_sup_anch,canonical_P1,P,977,873,104,0.537823529400547,0.6659758541745386,1.0366533992439397,54.63917525773196,0.0025040375340266477
m12_joint_hybrid_synergy,inv_D_tot,inv,D_tot,flat_1.0,P,1320,1029,291,0.5922282759044425,0.7518796992481258,1.1106614305937828,55.78231292517007,0.0026039051322366237
