model,container,form,scheme,trust,target_mdd,risk_lambda,kelly_fraction,total_return_pct,sharpe_ann,calmar,realised_mdd,deepest_mdd,n_settings,reached
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,-23.44618631203682,23.0,0.4,111.7025036864669,1.2200695848572278,4.764207799079082,-23.44618631203679,-44.63933698606788,24,true
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,-23.44618631203682,12.0,0.5,134.17374819075025,1.313899471880532,6.039747572661374,-22.215125148289516,-32.0923729531541,24,true
m12_joint_hybrid_synergy,std_B_full,std,B_full,flat_1.0,-23.44618631203682,12.0,0.3,136.77006174215524,1.3262277710847865,6.29858316340719,-21.714417067118646,-31.44492784662986,24,true
m12_joint_hybrid_synergy,std_B_anch,std,B_anch,flat_1.0,-23.44618631203682,12.0,0.4,136.1753469983884,1.324393226697337,6.242428539432777,-21.81448231856925,-31.56843327628444,24,true
m12_joint_hybrid_synergy,std_C_sqrt,std,C_sqrt,flat_1.0,-23.44618631203682,12.0,0.4,135.18902415125487,1.3188772553533206,6.138559298827271,-22.022923876793335,-31.842871313806135,24,true
m12_joint_hybrid_synergy,std_D_sup,std,D_sup,flat_1.0,-23.44618631203682,12.0,0.5,136.09592405845854,1.320610902468702,6.20469638636066,-21.934340632303694,-31.742343381555266,24,true
m12_joint_hybrid_synergy,std_D_sup_anch,std,D_sup_anch,flat_1.0,-23.44618631203682,12.0,0.3,135.47638927624055,1.3177223835471696,6.141201070167067,-22.060243220884317,-31.8968517337573,24,true
m12_joint_hybrid_synergy,std_D_tot,std,D_tot,flat_1.0,-23.44618631203682,12.0,0.5,135.27099289629146,1.3223875945784747,6.175512854318552,-21.90441443283469,-31.677359561321662,24,true
m12_joint_hybrid_synergy,inv_A_pool,inv,A_pool,flat_1.0,-23.44618631203682,15.0,0.3,64.09472239607919,1.0430916359252744,3.044945392557045,-21.04954740822283,-32.27983681818419,24,true
m12_joint_hybrid_synergy,inv_B_full,inv,B_full,flat_1.0,-23.44618631203682,15.0,0.4,63.315602212544796,1.0252692498351323,2.940395578303408,-21.533021842277954,-33.3876776943017,24,true
