scope,rapm_target,target,formulation,n,r,rho,mae,r2
B · Scotland all tiers,y_xg,scoreline,outfield starters,1461,0.17253841421678429,0.09409966580626646,1.3681272230698536,0.02125783763776745
B · Scotland all tiers,y_xg,official SofaScore xG,outfield starters,548,0.2692520616537406,0.22907673437437626,1.0015056933633735,0.020868544453495064
B · Scotland all tiers,y_xg,scoreline,starters + bench,1461,0.17886097566023157,0.09591581081825265,1.3659561178694557,0.02325754830559834
B · Scotland all tiers,y_xg,official SofaScore xG,starters + bench,548,0.2734223808305133,0.23740393701696463,1.0047978709507184,0.006864731292303361
B · Scotland all tiers,y_xg,scoreline,positional vectors,1461,0.16363471148714487,0.08008191112968643,1.3749928177688995,0.01484610233819006
B · Scotland all tiers,y_xg,official SofaScore xG,positional vectors,548,0.1955160448029416,0.15167412886495052,1.0135173328071816,-0.008191127425784428
B · Scotland all tiers,y_xg,scoreline,expected minutes,1461,0.18962263520549094,0.101356037187453,1.3616141130970318,0.027669513885501984
B · Scotland all tiers,y_xg,official SofaScore xG,expected minutes,548,0.28647927551762575,0.25219729573068284,0.9906035220121201,0.019222632041426047
B · Scotland all tiers,y_shots,scoreline,outfield starters,1461,0.1613589714271761,0.07858402321312644,1.3723570572546417,0.016723426142890463
B · Scotland all tiers,y_shots,official SofaScore xG,outfield starters,548,0.2376427708196904,0.18642280408541068,1.0023694093495612,0.013188245524015207
B · Scotland all tiers,y_shots,scoreline,starters + bench,1461,0.1678101331356019,0.07742713944136408,1.3709668491157103,0.01855171551696644
B · Scotland all tiers,y_shots,official SofaScore xG,starters + bench,548,0.24138710361555668,0.18876912864970122,1.0006207721840767,0.012082416231463666
B · Scotland all tiers,y_shots,scoreline,positional vectors,1461,0.16258804073808478,0.06474444201317954,1.375544102963369,0.013698484577648662
B · Scotland all tiers,y_shots,official SofaScore xG,positional vectors,548,0.08443346591825908,0.08666062311497426,1.0470227665909286,-0.1068745347485387
B · Scotland all tiers,y_shots,scoreline,expected minutes,1461,0.17883250363412106,0.0773931069431305,1.3667654960790396,0.02251154017000101
B · Scotland all tiers,y_shots,official SofaScore xG,expected minutes,548,0.2508961645409287,0.1908950546064283,0.990467545899168,0.021024047772786547
C · Scottish Lower,y_xg,scoreline,outfield starters,710,0.01090264416588885,0.008531602950092324,1.3991544462265584,-0.012197354982273811
C · Scottish Lower,y_xg,scoreline,starters + bench,710,0.005493725179434194,0.0011203777862044393,1.3994658168034397,-0.012596722001032123
C · Scottish Lower,y_xg,scoreline,positional vectors,710,0.010152151711573588,0.007161509900185485,1.4025245514757565,-0.022964004039889296
C · Scottish Lower,y_xg,scoreline,expected minutes,710,0.005051988112334156,-0.007224663146056978,1.3963310896274435,-0.010780422219967667
C · Scottish Lower,y_shots,scoreline,outfield starters,710,0.037855122086369083,0.04146565419575102,1.3917400057123184,-0.0030478681796541895
C · Scottish Lower,y_shots,scoreline,starters + bench,710,0.036126116770661756,0.03567670892999366,1.3927699963573803,-0.0032567736332727026
C · Scottish Lower,y_shots,scoreline,positional vectors,710,0.009943675823453162,0.0051321855995148016,1.4042672992224148,-0.019003130991794848
C · Scottish Lower,y_shots,scoreline,expected minutes,710,0.03499390716872528,0.02445939701201891,1.3924160312766858,-0.002799341559488022
