team_slug,team_name,stadium_name,city,postcode,latitude,longitude,notes
airdrieonians,Airdrieonians,Excelsior Stadium,Airdrie,ML6 8QZ,55.8664,-3.9558,Primary ground
albion-rovers,Albion Rovers,The Reigart Stadium (Cliftonhill),Coatbridge,ML5 4LQ,55.8611,-4.0167,Primary ground
alloa-athletic,Alloa Athletic,Recreation Park (Indodrill Stadium),Alloa,FK10 1RY,56.1158,-3.7842,Primary ground
annan-athletic,Annan Athletic,Galabank,Annan,DG12 5DQ,54.9928,-3.2567,Primary ground near Solway Firth
arbroath,Arbroath,Gayfield Park,Arbroath,DD11 1NJ,56.5528,-2.5900,Coastal North Sea ground
bonnyrigg-rose,Bonnyrigg Rose,New Dundas Park,Bonnyrigg,EH19 3AE,55.8772,-3.1206,Midlothian ground
brechin-city,Brechin City,Glebe Park,Brechin,DD9 6BJ,56.7339,-2.6561,Angus ground
clyde-fc,Clyde FC,New Douglas Park,Hamilton,ML3 0FT,55.7822,-4.0578,Groundshare at Hamilton
cove-rangers,Cove Rangers,Balmoral Stadium,Aberdeen,AB12 3JG,57.1067,-2.0911,Aberdeen south coast ground
cowdenbeath,Cowdenbeath,Central Park,Cowdenbeath,KY4 9QQ,56.1103,-3.3486,Fife ground
dumbarton,Dumbarton,Dumbarton Stadium (The Rock),Dumbarton,G82 1JJ,55.9381,-4.5619,River Clyde ground
dunfermline-athletic,Dunfermline Athletic,East End Park,Dunfermline,KY12 7RB,56.0750,-3.4419,Fife ground
east-fife,East Fife,Bayview Stadium,Methil,KY8 3RW,56.1883,-3.0039,Firth of Forth coastal ground
east-kilbride,East Kilbride,K-Park Training Academy,East Kilbride,G75 0QZ,55.7481,-4.1539,South Lanarkshire ground
edinburgh-city-fc,Edinburgh City FC,Meadowbank Stadium,Edinburgh,EH7 6AE,55.9575,-3.1583,Edinburgh ground
elgin-city,Elgin City,Borough Briggs,Elgin,IV30 1AP,57.6533,-3.3228,Far North Highlands ground (Moray)
falkirk-fc,Falkirk FC,Falkirk Stadium,Falkirk,FK2 9DX,56.0053,-3.7547,Central Belt ground
forfar-athletic,Forfar Athletic,Station Park,Forfar,DD8 3HB,56.6508,-2.8847,Angus ground
hamilton-academical,Hamilton Academical,New Douglas Park,Hamilton,ML3 0FT,55.7822,-4.0578,Lanarkshire ground
inverness-caledonian-thistle,Inverness Caledonian Thistle,Caledonian Stadium,Inverness,IV1 1FF,57.4950,-4.2197,Highlands capital ground (Moray Firth)
kelty-hearts-fc,Kelty Hearts,New Central Park,Kelty,KY4 0AG,56.1344,-3.3853,Fife ground
montrose,Montrose,Links Park,Montrose,DD10 8LF,56.7111,-2.4633,Angus coastal ground
partick-thistle,Partick Thistle,Firhill Stadium,Glasgow,G20 7AL,55.8814,-4.2714,Glasgow Maryhill ground
peterhead,Peterhead,Balmoor Stadium,Peterhead,AB42 1EQ,57.5147,-1.7906,Far North-East Buchan ground
queen-of-the-south,Queen of the South,Palmerston Park,Dumfries,DG2 9BA,55.0711,-3.6269,Dumfries and Galloway ground
queens-park-fc,Queen's Park FC,Ochilview Park,Stenhousemuir,FK5 4QL,56.0275,-3.8186,Groundshare period
ross-county,Ross County,Global Energy Stadium (Victoria Park),Dingwall,IV15 9QZ,57.5958,-4.4186,Highlands Dingwall ground
stenhousemuir,Stenhousemuir,Ochilview Park,Stenhousemuir,FK5 4QL,56.0275,-3.8186,Falkirk area ground
stirling-albion,Stirling Albion,Forthbank Stadium,Stirling,FK7 7UJ,56.1133,-3.9167,Stirling Forth valley ground
stranraer,Stranraer,Stair Park,Stranraer,DG9 8BS,54.9039,-5.0169,Far South-West Loch Ryan / Galloway ground
the-spartans-fc,The Spartans FC,Ainslie Park,Edinburgh,EH5 2HF,55.9739,-3.2328,North Edinburgh ground
