cap,strategy,terminal_W,G_per_match,maxDD,ruined
0.05,FLAT_1pct,1.872745,0.002281,0.262035,0
0.05,PB_BK_cap02,1.776060,0.002089,0.614508,0
0.05,U_cap02,0.361831,-0.003697,0.892350,0
0.05,TRUST05_U_cap02,0.520846,-0.002372,0.849746,0
0.05,CURATED05_U_cap02,5.746968,0.006359,0.402935,0
0.05,TRUST_EB_U_cap02,1.013394,0.000048,0.773473,0
0.10,FLAT_1pct,1.872745,0.002281,0.262035,0
0.10,PB_BK_cap02,1.293491,0.000936,0.854081,0
0.10,U_cap02,0.059688,-0.010250,0.989787,0
0.10,TRUST05_U_cap02,0.500638,-0.002516,0.930755,0
0.10,CURATED05_U_cap02,12.362213,0.009144,0.425397,0
0.10,TRUST_EB_U_cap02,1.664021,0.001852,0.868589,0
0.15,FLAT_1pct,1.872745,0.002281,0.262035,0
0.15,PB_BK_cap02,0.965326,-0.000128,0.940724,0
0.15,U_cap02,0.020453,-0.014144,0.997740,0
0.15,TRUST05_U_cap02,0.670606,-0.001453,0.933692,0
0.15,CURATED05_U_cap02,19.620043,0.010824,0.429455,0
0.15,TRUST_EB_U_cap02,2.418592,0.003212,0.871061,0
0.20,FLAT_1pct,1.872745,0.002281,0.262035,0
0.20,PB_BK_cap02,0.568556,-0.002053,0.979223,0
0.20,U_cap02,0.009712,-0.016852,0.998663,1
0.20,TRUST05_U_cap02,0.718381,-0.001203,0.951620,0
0.20,CURATED05_U_cap02,26.806029,0.011959,0.419796,0
0.20,TRUST_EB_U_cap02,2.999481,0.003994,0.874306,0
0.25,FLAT_1pct,1.872745,0.002281,0.262035,0
0.25,PB_BK_cap02,0.199175,-0.005868,0.993054,0
0.25,U_cap02,0.008764,-0.017226,0.999016,1
0.25,TRUST05_U_cap02,0.854404,-0.000572,0.953267,0
0.25,CURATED05_U_cap02,32.353480,0.012643,0.411182,0
0.25,TRUST_EB_U_cap02,3.362649,0.004410,0.885318,0
0.30,FLAT_1pct,1.872745,0.002281,0.262035,0
0.30,PB_BK_cap02,0.076809,-0.009333,0.996991,0
0.30,U_cap02,0.009755,-0.016836,0.999070,1
0.30,TRUST05_U_cap02,0.860685,-0.000546,0.956236,0
0.30,CURATED05_U_cap02,36.277947,0.013059,0.403275,0
0.30,TRUST_EB_U_cap02,3.694892,0.004753,0.888423,0
0.40,FLAT_1pct,1.872745,0.002281,0.262035,0
0.40,PB_BK_cap02,0.008508,-0.017334,0.999571,1
0.40,U_cap02,0.009316,-0.017004,0.999285,1
0.40,TRUST05_U_cap02,0.924109,-0.000287,0.958632,0
0.40,CURATED05_U_cap02,38.010527,0.013229,0.391711,0
0.40,TRUST_EB_U_cap02,4.334324,0.005333,0.883191,0
0.50,FLAT_1pct,1.872745,0.002281,0.262035,0
0.50,PB_BK_cap02,0.006045,-0.018576,0.999597,1
0.50,U_cap02,0.007673,-0.017709,0.999411,1
0.50,TRUST05_U_cap02,0.912516,-0.000333,0.958893,0
0.50,CURATED05_U_cap02,33.080677,0.012723,0.391593,0
0.50,TRUST_EB_U_cap02,4.003103,0.005044,0.899186,0
0.75,FLAT_1pct,1.872745,0.002281,0.262035,0
0.75,PB_BK_cap02,0.009026,-0.017119,0.999367,1
0.75,U_cap02,0.007044,-0.018020,0.999317,1
0.75,TRUST05_U_cap02,0.958042,-0.000156,0.958220,0
0.75,CURATED05_U_cap02,27.406941,0.012039,0.418238,0
0.75,TRUST_EB_U_cap02,4.182743,0.005204,0.900504,0
1.00,FLAT_1pct,1.872745,0.002281,0.262035,0
1.00,PB_BK_cap02,0.008592,-0.017298,0.999398,1
1.00,U_cap02,0.005847,-0.018697,0.999373,1
1.00,TRUST05_U_cap02,0.965509,-0.000128,0.958073,0
1.00,CURATED05_U_cap02,27.503949,0.012052,0.447364,0
1.00,TRUST_EB_U_cap02,4.213605,0.005230,0.900113,0
