match,home,draw,away,over_15,over_25,over_35,btts_yes
1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
26,0.54386,0.4562,0.64129,0.55905,0.47378,0.50615,0.57069
51,0.37713,0.39653,0.54402,0.52736,0.45675,0.50717,0.58425
76,0.35541,0.39899,0.54563,0.52019,0.49389,0.52524,0.58793
101,0.29368,0.3894,0.46114,0.51038,0.46889,0.48448,0.59655
126,0.32251,0.4188,0.52564,0.51672,0.49308,0.50626,0.60229
151,0.30897,0.4336,0.45893,0.55609,0.50448,0.53192,0.59639
176,0.25767,0.42115,0.36428,0.53397,0.47781,0.51352,0.59479
201,0.20851,0.38352,0.29942,0.52964,0.45412,0.47773,0.5796
226,0.18766,0.34712,0.29668,0.51928,0.49438,0.48174,0.57805
251,0.18043,0.37353,0.3303,0.54585,0.51962,0.50334,0.63775
