ema_alpha,K_weeks,terminal_W,G_per_match,maxDD,jitter,react_match,home_w,n_refits
1.0,1,3.710933,0.004768,0.857274,0.015161,75,0.1856,49
1.0,2,3.262822,0.004300,0.859547,0.021843,75,0.1749,24
1.0,3,3.494783,0.004550,0.862643,0.022198,75,0.1749,16
1.0,4,2.939174,0.003920,0.876184,0.026999,75,0.1749,12
1.0,6,3.882316,0.004932,0.864799,0.028574,75,0.1749,8
1.0,8,3.825492,0.004879,0.865451,0.030534,97,0.1749,6
0.7,1,3.602933,0.004661,0.858605,0.010805,75,0.1833,49
0.7,2,3.438908,0.004491,0.858245,0.015108,75,0.1796,24
0.7,3,3.618840,0.004677,0.864382,0.015572,75,0.1832,16
0.7,4,3.060603,0.004068,0.866939,0.019010,97,0.1830,12
0.7,6,3.341890,0.004387,0.877651,0.021538,114,0.1842,8
0.7,8,3.220825,0.004253,0.875825,0.024228,139,0.1895,6
0.5,1,3.566012,0.004623,0.860200,0.008283,75,0.1836,49
0.5,2,3.491510,0.004547,0.861782,0.011322,87,0.1845,24
0.5,3,3.494755,0.004550,0.870963,0.012096,114,0.1912,16
0.5,4,2.887081,0.003855,0.876160,0.014915,122,0.1933,12
0.5,6,2.841162,0.003797,0.890698,0.017659,139,0.2010,8
0.5,8,2.664925,0.003564,0.889689,0.020482,168,0.2132,6
0.3,1,3.505204,0.004561,0.865260,0.005806,97,0.1872,49
0.3,2,3.237370,0.004272,0.874820,0.007948,114,0.1964,24
0.3,3,2.953769,0.003938,0.887866,0.009040,125,0.2112,16
0.3,4,2.349952,0.003107,0.898896,0.011466,150,0.2206,12
0.3,6,2.141733,0.002770,0.911012,0.013709,161,0.2434,8
0.3,8,1.938180,0.002406,0.912703,0.016219,168,0.2668,6
0.15,1,3.115785,0.004133,0.881205,0.003816,119,0.2006,49
0.15,2,2.467278,0.003284,0.900141,0.005496,150,0.2311,24
0.15,3,2.095668,0.002690,0.913306,0.006381,174,0.2624,16
0.15,4,1.638549,0.001796,0.924699,0.007909,187,0.2861,12
0.15,6,1.464000,0.001386,0.930684,0.009162,225,0.3220,8
0.15,8,1.335362,0.001052,0.931254,0.010414,263,0.3492,6
