halflife_weeks,K_weeks,terminal_W,G_per_match,maxDD,jitter,react_match,home_w,n_refits
Inf,1,3.710933,0.004768,0.857274,0.015161,75,0.1856,49
Inf,2,3.262822,0.004300,0.859547,0.021843,75,0.1749,24
Inf,3,3.494783,0.004550,0.862643,0.022198,75,0.1749,16
Inf,4,2.939174,0.003920,0.876184,0.026999,75,0.1749,12
Inf,6,3.882316,0.004932,0.864799,0.028574,75,0.1749,8
Inf,8,3.825492,0.004879,0.865451,0.030534,97,0.1749,6
8.0,1,1.742369,0.002019,0.893269,0.015796,119,0.3618,49
8.0,2,1.726216,0.001985,0.890357,0.020883,161,0.3066,24
8.0,3,1.739794,0.002014,0.897749,0.022241,161,0.3066,16
8.0,4,1.492574,0.001456,0.902527,0.029509,168,0.3066,12
8.0,6,2.122528,0.002737,0.896129,0.028501,161,0.3066,8
8.0,8,2.156350,0.002794,0.891672,0.031509,168,0.3066,6
4.0,1,1.268142,0.000864,0.914200,0.016528,168,0.4365,49
4.0,2,1.273454,0.000879,0.910253,0.020837,168,0.3841,24
4.0,3,1.239238,0.000780,0.916897,0.023640,,0.3841,16
4.0,4,1.079969,0.000280,0.919866,0.028889,168,0.3841,12
4.0,6,1.564359,0.001627,0.911060,0.027989,,0.3841,8
4.0,8,1.600221,0.001710,0.904924,0.034271,168,0.3841,6
2.0,1,1.008369,0.000030,0.933092,0.016309,,0.4830,49
2.0,2,0.996568,-0.000013,0.929378,0.020995,,0.4267,24
2.0,3,0.973083,-0.000099,0.935795,0.023128,,0.4267,16
2.0,4,0.923863,-0.000288,0.927865,0.026345,,0.4267,12
2.0,6,1.191419,0.000637,0.925314,0.024827,,0.4267,8
2.0,8,1.240100,0.000783,0.918139,0.031927,,0.4267,6
1.0,1,0.927125,-0.000275,0.940378,0.015269,,0.5086,49
1.0,2,0.952928,-0.000175,0.935504,0.019784,,0.4538,24
1.0,3,0.882491,-0.000455,0.943482,0.020835,,0.4538,16
1.0,4,0.898975,-0.000387,0.930274,0.019168,,0.4538,12
1.0,6,1.065498,0.000231,0.930403,0.020755,,0.4538,8
1.0,8,1.089966,0.000313,0.928564,0.022060,,0.4538,6
