model,policy,initial_bankroll,final_bankroll,total_return_pct,annual_sharpe,max_drawdown_pct,n_bets,total_turnover,flat_roi_pct,win_rate_pct,mean_exposure,max_exposure,n_capped,n_slates,mean_k_risk
m12_joint_hybrid_synergy,P_baseline,1000.0,2239.370670076544,123.93706700765436,1.3332465962136513,-20.97324348306163,1894,9.774219616219249,9.371612903689886,36.06124604012672,0.09774219616219253,0.20000000000000007,4,100,0.26893718257649024
m12_joint_hybrid_synergy,P_symmetric_core,1000.0,2415.3382587807396,141.53382587807397,1.4851250588662117,-19.796785484141857,1314,7.732294657500014,12.784915685590425,33.2572298325723,0.07732294657500016,0.17584756257641776,0,100,0.2796481948700888
m12_joint_hybrid_synergy,P_asymmetric_core,1000.0,2439.1485283735838,143.91485283735838,1.5156237277388753,-18.390677944268656,1255,7.518747356746391,13.254868642283038,32.58964143426295,0.07518747356746393,0.17584756257641776,0,100,0.2795786326511705
m12_joint_hybrid_synergy,P_under_expansion,1000.0,2357.807240787826,135.78072407878258,1.47151375242012,-21.357404571263558,1490,8.505567210068826,11.292135910717588,34.22818791946309,0.08505567210068828,0.19516313961769324,0,100,0.2749580960329609
m12_joint_hybrid_synergy,P_pure_alpha,1000.0,1738.0712094150788,73.80712094150788,1.5980341299370462,-17.209032422889774,995,4.437554325306059,13.27016478517153,33.46733668341709,0.04437554325306059,0.1288009360466652,0,100,0.23314728581691227
m13_joint_composite,P_baseline,1000.0,2278.5852516082346,127.85852516082348,1.37526309591595,-20.84484895560675,1893,9.806727690338874,9.49759194114178,36.55573164289487,0.0980672769033887,0.2,4,100,0.2690637529010667
m13_joint_composite,P_symmetric_core,1000.0,2444.2702855098937,144.42702855098938,1.5216476380669308,-20.3218909219731,1316,7.774625017499139,12.841076310553085,33.890577507598785,0.07774625017499139,0.17985681995400357,0,100,0.2813831477027448
m13_joint_composite,P_asymmetric_core,1000.0,2461.3733596101883,146.13733596101883,1.548396741054269,-19.157557561596626,1260,7.560935988000413,13.27184810238903,33.33333333333333,0.07560935988000414,0.17985681995400357,0,100,0.2792434841660731
m13_joint_composite,P_under_expansion,1000.0,2375.7059206419453,137.57059206419453,1.5018073597296575,-21.276065867686818,1495,8.554209491052053,11.28993427135357,34.8494983277592,0.08554209491052052,0.19166054303186691,0,100,0.2754940342999973
m13_joint_composite,P_pure_alpha,1000.0,1788.4298746372958,78.84298746372957,1.6908420881911133,-17.612657744098584,1009,4.5559651901367975,13.547257132413089,34.093161546085234,0.045559651901367966,0.13346679136710993,0,100,0.23564188418309961
