model,policy,window,date_from,date_to,n_slates,return_pct,annual_sharpe,max_drawdown_pct,n_bets,total_turnover
m12_joint_hybrid_synergy,P_baseline,full,2024-08-03,2026-04-25,100,123.93706700765436,1.3332465962136513,-20.973243483061633,1894,9.774219616219252
m12_joint_hybrid_synergy,P_baseline,first_half,2024-08-03,2025-05-03,50,95.30873601976508,2.4892172353845154,-13.10493690859824,858,4.017642348308782
m12_joint_hybrid_synergy,P_baseline,second_half,2025-05-04,2026-04-25,50,14.657987948369078,0.47368682607478063,-20.973243483061644,1036,5.756577267910471
m12_joint_hybrid_synergy,P_symmetric_core,full,2024-08-03,2026-04-25,100,141.53382587807397,1.4851250588662117,-19.796785484141854,1314,7.732294657500017
m12_joint_hybrid_synergy,P_symmetric_core,first_half,2024-08-03,2025-05-03,50,88.83827983267926,2.493649232329111,-11.620400405137888,650,3.384580562061398
m12_joint_hybrid_synergy,P_symmetric_core,second_half,2025-05-04,2026-04-25,50,27.905118650776583,0.8395958674442184,-19.79678548414188,664,4.347714095438619
m12_joint_hybrid_synergy,P_asymmetric_core,full,2024-08-03,2026-04-25,100,143.91485283735838,1.5156237277388753,-18.390677944268653,1255,7.518747356746393
m12_joint_hybrid_synergy,P_asymmetric_core,first_half,2024-08-03,2025-05-03,50,86.88576344872894,2.456447463489371,-12.297877840441163,618,3.2600004242769436
m12_joint_hybrid_synergy,P_asymmetric_core,second_half,2025-05-04,2026-04-25,50,30.51548086715279,0.921514104126797,-18.390677944268663,637,4.258746932469449
m12_joint_hybrid_synergy,P_under_expansion,full,2024-08-03,2026-04-25,100,135.78072407878258,1.47151375242012,-21.35740457126356,1490,8.505567210068827
m12_joint_hybrid_synergy,P_under_expansion,first_half,2024-08-03,2025-05-03,50,98.02520829766084,2.6337605523476904,-12.841538267027397,691,3.5154199303975155
m12_joint_hybrid_synergy,P_under_expansion,second_half,2025-05-04,2026-04-25,50,19.066014930972575,0.6271441536416033,-21.357404571263572,799,4.990147279671312
m12_joint_hybrid_synergy,P_pure_alpha,full,2024-08-03,2026-04-25,100,73.80712094150788,1.5980341299370462,-17.20903242288977,995,4.437554325306059
m12_joint_hybrid_synergy,P_pure_alpha,first_half,2024-08-03,2025-05-03,50,37.1607853305578,1.9665081951453653,-13.4025731469529,452,1.7480832228867291
m12_joint_hybrid_synergy,P_pure_alpha,second_half,2025-05-04,2026-04-25,50,26.71779366284057,1.4732770518753187,-9.532903739793285,543,2.68947110241933
m13_joint_composite,P_baseline,full,2024-08-03,2026-04-25,100,127.85852516082348,1.37526309591595,-20.844848955606754,1893,9.806727690338871
m13_joint_composite,P_baseline,first_half,2024-08-03,2025-05-03,50,91.88055355438445,2.473823595907095,-12.941627490266006,846,4.023882976895321
m13_joint_composite,P_baseline,second_half,2025-05-04,2026-04-25,50,18.750191689561714,0.5942804703779223,-20.844848955606754,1047,5.78284471344355
m13_joint_composite,P_symmetric_core,full,2024-08-03,2026-04-25,100,144.42702855098938,1.5216476380669308,-20.321890921973097,1316,7.774625017499139
m13_joint_composite,P_symmetric_core,first_half,2024-08-03,2025-05-03,50,84.68092237383145,2.4568262588557497,-11.556691799724494,643,3.3938394155916964
m13_joint_composite,P_symmetric_core,second_half,2025-05-04,2026-04-25,50,32.35098970115582,0.9581557084111799,-20.321890921973086,673,4.3807856019074425
m13_joint_composite,P_asymmetric_core,full,2024-08-03,2026-04-25,100,146.13733596101883,1.548396741054269,-19.157557561596626,1260,7.5609359880004146
m13_joint_composite,P_asymmetric_core,first_half,2024-08-03,2025-05-03,50,81.80655019411371,2.397339901854032,-12.247847905830811,612,3.269041632901329
m13_joint_composite,P_asymmetric_core,second_half,2025-05-04,2026-04-25,50,35.38419583794954,1.050869488844797,-19.157557561596615,648,4.2918943550990845
m13_joint_composite,P_under_expansion,full,2024-08-03,2026-04-25,100,137.57059206419453,1.5018073597296575,-21.27606586768682,1495,8.554209491052053
m13_joint_composite,P_under_expansion,first_half,2024-08-03,2025-05-03,50,92.82007437700126,2.5953430296940043,-12.768341496487434,685,3.525802070478626
m13_joint_composite,P_under_expansion,second_half,2025-05-04,2026-04-25,50,23.208432955843207,0.748522794776117,-21.27606586768681,810,5.028407420573425
m13_joint_composite,P_pure_alpha,full,2024-08-03,2026-04-25,100,78.84298746372957,1.6908420881911133,-17.61265774409858,1009,4.555965190136797
m13_joint_composite,P_pure_alpha,first_half,2024-08-03,2025-05-03,50,33.77832019438189,1.854493329308239,-13.202021098467199,453,1.8052398550472877
m13_joint_composite,P_pure_alpha,second_half,2025-05-04,2026-04-25,50,33.68607649121926,1.7859347613544565,-9.64663550588185,556,2.7507253350895082
