scope,family,n_slates,n_bets,stake_amount,pnl_amount,roi_pct,oos_information_ratio,selected_for_pure_alpha
m12_joint_hybrid_synergy,1X2_away,100,374,5377.755935224753,347.30998327874977,6.458269721833976,0.6661857479208553,false
m13_joint_composite,1X2_away,100,365,5316.19849368841,254.6776192935184,4.790596506053737,0.6378853658454382,false
POOLED,1X2_away,100,739,10693.954428913163,601.987602572268,5.629232914483708,0.6535215436456071,false
m12_joint_hybrid_synergy,1X2_draw,100,361,2418.7507303960015,231.67486333290816,9.578286030945323,0.3484163809772517,false
m13_joint_composite,1X2_draw,100,359,2442.622914230604,268.1030666548541,10.976031752297848,0.35934512347378067,false
POOLED,1X2_draw,100,720,4861.373644626606,499.7779299877622,10.280590765537614,0.3550407507070114,true
m12_joint_hybrid_synergy,1X2_home,100,293,4581.49957744698,499.36335351086984,10.899561269612468,1.1095320639259727,false
m13_joint_composite,1X2_home,100,307,4803.364540795947,595.7597892949871,12.402968465855103,1.1898767974840672,false
POOLED,1X2_home,100,600,9384.864118242927,1095.1231428058568,11.669035683501086,1.1540069600897782,true
m12_joint_hybrid_synergy,BTTS_btts_no,100,49,248.74947748443697,-25.90190496802276,-10.412847990662941,-0.43502569331434354,false
m13_joint_composite,BTTS_btts_no,100,51,260.23591507580863,-19.905974365501592,-7.649203362150392,-0.35913943430232764,false
POOLED,BTTS_btts_no,100,100,508.9853925602456,-45.80787933352437,-8.999841646359696,-0.3970941407753319,false
m12_joint_hybrid_synergy,BTTS_btts_yes,100,66,546.6565198565229,-25.875333339700795,-4.733380541494705,-0.18543932004623873,false
m13_joint_composite,BTTS_btts_yes,100,64,538.0527354742777,-20.86042123874478,-3.8770216864257607,-0.09990698247322599,false
POOLED,BTTS_btts_yes,100,130,1084.7092553308007,-46.735754578445565,-4.308597382087672,-0.14387586795697785,false
m12_joint_hybrid_synergy,O/U 0.5_over_05,100,33,528.3463227632693,-17.676939450098025,-3.3457106993093144,-0.18045092160740578,false
m13_joint_composite,O/U 0.5_over_05,100,33,509.45210247882784,-12.866103534873137,-2.525478542981935,-0.07299679835306744,false
POOLED,O/U 0.5_over_05,100,66,1037.7984252420972,-30.543042984971162,-2.9430612190268155,-0.12998740645378642,false
m12_joint_hybrid_synergy,O/U 0.5_under_05,100,64,108.4315081156563,-33.28628657904994,-30.697983600436316,-0.5635473229783298,false
m13_joint_composite,O/U 0.5_under_05,100,62,108.12253458485053,-33.821198025706515,-31.280433959088246,-0.5766046402422559,false
POOLED,O/U 0.5_under_05,100,126,216.55404270050678,-67.10748460475645,-30.988793267445846,-0.5705175452259289,false
m12_joint_hybrid_synergy,O/U 1.5_over_15,100,47,355.04738155902464,-9.49006486207412,-2.6729009577265255,-0.1738922005467318,false
m13_joint_composite,O/U 1.5_over_15,100,47,371.09386631368363,-14.266083875765325,-3.84433297631125,-0.23375128316979954,false
POOLED,O/U 1.5_over_15,100,94,726.1412478727083,-23.756148737839432,-3.2715602931847023,-0.20461177724053098,false
m12_joint_hybrid_synergy,O/U 1.5_under_15,100,114,534.8556021374866,-6.597523391483811,-1.233514871138602,0.06701522372005543,false
m13_joint_composite,O/U 1.5_under_15,100,114,539.6483724735604,-2.3389294215652257,-0.43341730298275283,0.09664226508729443,false
POOLED,O/U 1.5_under_15,100,228,1074.5039746110472,-8.93645281304909,-0.831681689803329,0.08183781191099519,true
m12_joint_hybrid_synergy,O/U 2.5_over_25,100,59,399.21886786672997,-42.78742058265286,-10.717785161631301,-0.1729600045738506,false
m13_joint_composite,O/U 2.5_over_25,100,56,398.05449847931004,-48.09710688702443,-12.08304568112409,-0.15182605311191932,false
POOLED,O/U 2.5_over_25,100,115,797.2733663460401,-90.88452746967732,-11.399418481292997,-0.16263712961795437,false
m12_joint_hybrid_synergy,O/U 2.5_under_25,100,227,1828.1739937932223,348.7560991959689,19.076745450926445,1.266451849094447,false
m13_joint_composite,O/U 2.5_under_25,100,229,1839.8453368905066,336.1956681073582,18.273039660798727,1.2169878161531902,false
POOLED,O/U 2.5_under_25,100,456,3668.019330683728,684.951767303327,18.673613892205147,1.2421108166846282,true
m12_joint_hybrid_synergy,O/U 3.5_over_35,100,86,452.7889037998348,-7.958444829551873,-1.7576501461860197,0.05944298627648189,false
m13_joint_composite,O/U 3.5_over_35,100,85,451.3905593674557,-1.0185820562672632,-0.22565426660553697,0.13091296676512926,false
POOLED,O/U 3.5_over_35,100,171,904.1794631672905,-8.977026885819193,-0.9928368483810908,0.0955721937093024,false
m12_joint_hybrid_synergy,O/U 3.5_under_35,100,121,1595.4820081368123,-18.159711239318135,-1.1381959274191291,-0.1056045765850972,false
m13_joint_composite,O/U 3.5_under_35,100,121,1617.00381643324,-22.97649233703439,-1.420930000506465,-0.1418991755933812,false
POOLED,O/U 3.5_under_35,100,242,3212.4858245700516,-41.136203576352585,-1.2805100418414488,-0.12380471357357298,false
