model,policy,tau1,tau2,tau3,initial_bankroll,final_bankroll,total_return_pct,annual_sharpe,annual_sortino,calmar_ratio,max_drawdown_pct,n_bets,total_turnover,n_capped,win_rate_pct,mean_exposure,max_exposure,mean_k_risk,max_single_bet_amount,daily_pnl_volatility,n_slates
m12_joint_hybrid_synergy,P0_flat_benchmark,0.3,0.3,0.0,1000.0,2439.1485283735838,143.91485283735838,1.5156237277388753,1.8856968962009846,7.825424015008028,-18.390677944268656,1255,7.518747356746391,0,32.58964143426295,0.07518747356746393,0.17584756257641776,0.2795786326511705,66.63694815364619,0.04574493775493903,100
m12_joint_hybrid_synergy,P1_conservative_tilt,0.35,0.25,0.0,1000.0,2607.6145847185358,160.76145847185356,1.644838116937195,2.0879280852015616,8.056488181309733,-19.954284652809957,1255,7.4692602035060265,0,32.58964143426295,0.07469260203506024,0.1735373743969651,0.2838893728421131,74.3450192588801,0.04534948882166816,100
m12_joint_hybrid_synergy,P2_conviction_tilt,0.4,0.2,0.0,1000.0,2689.760398586065,168.97603985860653,1.742072477191068,2.182796214410821,7.930492476668098,-21.30713071801561,1255,7.192367785208494,0,32.58964143426295,0.07192367785208495,0.16535923015387247,0.2854673593912954,75.99720679429252,0.04419501053517494,100
m12_joint_hybrid_synergy,P3_aggressive_tilt,0.5,0.25,0.0,1000.0,2689.760398586063,168.9760398586063,1.7420724771910652,2.1827962144108155,7.930492476668095,-21.307130718015582,1255,7.1923677852085,0,32.58964143426295,0.071923677852085,0.16535923015387247,0.23037388751303606,75.99720679429221,0.04419501053517495,100
m12_joint_hybrid_synergy,P4_four_tier_probe,0.4,0.25,0.05,1000.0,2657.0120624767187,165.70120624767188,1.6894202095795336,2.1321497757932786,7.999984600342322,-20.71269065200219,1455,7.509907224167265,0,30.99656357388316,0.07509907224167266,0.17142377317078256,0.27009171608415145,77.55848070887119,0.045024612881638955,100
m13_joint_composite,P0_flat_benchmark,0.3,0.3,0.0,1000.0,2461.3733596101883,146.13733596101883,1.548396741054269,1.8960065706518714,7.628182010736419,-19.157557561596626,1260,7.560935988000413,0,33.33333333333333,0.07560935988000414,0.17985681995400357,0.2792434841660731,75.08531072514997,0.045211022805983415,100
m13_joint_composite,P1_conservative_tilt,0.35,0.25,0.0,1000.0,2653.391617464919,165.33916174649187,1.6890519468602831,2.0893373678467295,8.472701392151029,-19.514338354902883,1260,7.51578242887791,0,33.33333333333333,0.0751578242887791,0.1771939600939936,0.28292842478872066,82.46700846025769,0.04496346435915952,100
m13_joint_composite,P2_conviction_tilt,0.4,0.2,0.0,1000.0,2765.5324730271213,176.55324730271212,1.798336781384135,2.2927382560387106,8.40550844099602,-21.00446969294712,1260,7.243642526514703,0,33.33333333333333,0.07243642526514701,0.16875904079551518,0.2840711736287792,83.66889536562472,0.04405444462145199,100
m13_joint_composite,P3_aggressive_tilt,0.5,0.25,0.0,1000.0,2765.5324730271227,176.55324730271226,1.798336781384137,2.2927382560387146,8.40550844099603,-21.004469692947108,1260,7.243642526514705,0,33.33333333333333,0.07243642526514703,0.16875904079551518,0.2292569389030232,83.66889536562475,0.044054444621452,100
m13_joint_composite,P4_four_tier_probe,0.4,0.25,0.05,1000.0,2722.575152998876,172.25751529988761,1.7437547057924148,2.223799461789069,8.414774010969573,-20.470842719641812,1459,7.556808897256795,0,31.665524331734062,0.07556808897256795,0.17494253521774003,0.26640753148538265,85.90061474220741,0.044720081921059064,100
