model,market_key,selection,source,n_obs,brier,ece,mean_predicted,realized_win_rate,calibration_bias
m00_joint_baseline,1X2,ALL,model,1785,0.21361539046678846,0.020639015927334296,0.3333332569824887,0.3333333333333333,7.635084459112207e-8
m00_joint_baseline,1X2,ALL,market,1785,0.21156444032291422,0.018580646181840455,0.3333333333333333,0.3333333333333333,0.0
m00_joint_baseline,1X2,home,model,595,0.24020430555592406,0.039015138368331745,0.41163921526067193,0.43529411764705883,0.0236549023863869
m00_joint_baseline,1X2,home,market,595,0.23706791435384156,0.04621231839996138,0.42152996773744844,0.43529411764705883,0.01376414990961039
m00_joint_baseline,1X2,draw,model,595,0.19101927085128761,0.0037122049424507804,0.2534306522004062,0.2571428571428571,0.003712204942450892
m00_joint_baseline,1X2,draw,market,595,0.19181809406595163,0.005316912021111431,0.2582268546420129,0.2571428571428571,-0.0010839974991557755
m00_joint_baseline,1X2,away,model,595,0.20962259499315478,0.03092004205528415,0.334929903486388,0.30756302521008405,-0.027366878276303963
m00_joint_baseline,1X2,away,market,595,0.20580731254895002,0.043608169167124705,0.3202431776205387,0.30756302521008405,-0.01268015241045467
m00_joint_baseline,OU0.5,ALL,model,533,0.051463086041403976,0.014581916444090855,0.690918306544051,0.6848030018761726,-0.006115304667878352
m00_joint_baseline,OU0.5,ALL,market,533,0.05433616260677342,0.036416109478396845,0.7204502814258913,0.6848030018761726,-0.03564727954971869
m00_joint_baseline,OU0.5,over_05,model,384,0.058294504432326394,0.005875916766564342,0.9316240832334363,0.9375,0.005875916766563738
m00_joint_baseline,OU0.5,over_05,market,384,0.06244944618412792,0.03723185309412861,0.9736647011358328,0.9375,-0.03616470113583281
m00_joint_baseline,OU0.5,under_05,model,149,0.03385728293996637,0.03701885521033367,0.07057590219019942,0.03355704697986577,-0.03701885521033365
m00_joint_baseline,OU0.5,under_05,market,149,0.03342676063560476,0.03431379036134318,0.06787083734120897,0.03355704697986577,-0.034313790361343195
m00_joint_baseline,OU1.5,ALL,model,430,0.17292129869917244,0.02348664662291202,0.49999987786112854,0.5,1.2213887146117486e-7
m00_joint_baseline,OU1.5,ALL,market,430,0.17266435474340952,0.010264241635519814,0.5,0.5,0.0
m00_joint_baseline,OU1.5,over_15,model,215,0.1729213109981805,0.02348676532324212,0.7538991777664458,0.772093023255814,0.0181938454893682
m00_joint_baseline,OU1.5,over_15,market,215,0.17266435474340938,0.008403776519240815,0.7695475417446302,0.772093023255814,0.0025454815111837226
m00_joint_baseline,OU1.5,under_15,model,215,0.17292128640016444,0.023486527922581924,0.2461005779558112,0.22790697674418606,-0.018193601211625138
m00_joint_baseline,OU1.5,under_15,market,215,0.17266435474340935,0.012124706751798813,0.23045245825536975,0.22790697674418606,-0.002545481511183695
m00_joint_baseline,OU2.5,ALL,model,758,0.2470034418358848,0.008097996064205555,0.49999987335142837,0.5,1.2664857163002807e-7
m00_joint_baseline,OU2.5,ALL,market,758,0.24829171351414944,0.01829866107755568,0.5,0.5,0.0
m00_joint_baseline,OU2.5,over_25,model,379,0.24700344786062187,0.01711458669326238,0.5122392505400796,0.5013192612137203,-0.010919989326359292
m00_joint_baseline,OU2.5,over_25,market,379,0.24829171351414947,0.028508958419071143,0.5298282196327917,0.5013192612137203,-0.028508958419071417
m00_joint_baseline,OU2.5,under_25,model,379,0.24700343581114767,0.017114753779730388,0.48776049616277717,0.49868073878627966,0.010920242623502496
m00_joint_baseline,OU2.5,under_25,market,379,0.24829171351414947,0.028508958419071074,0.4701717803672084,0.49868073878627966,0.02850895841907125
m00_joint_baseline,OU3.5,ALL,model,528,0.21053444380260677,0.03200110661979364,0.4999998636096441,0.5,1.3639035589818604e-7
