model,market_key,selection,source,bin,lower,upper,n,mean_predicted,realized_win_rate,calibration_gap
m00_joint_baseline,1X2,ALL,model,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,1X2,ALL,model,2,0.1,0.2,5,0.18858675515068252,0.4,0.2114132448493175
m00_joint_baseline,1X2,ALL,model,3,0.2,0.3,761,0.25714638795992956,0.24967148488830487,-0.007474903071624683
m00_joint_baseline,1X2,ALL,model,4,0.3,0.4,604,0.3517819164929886,0.33278145695364236,-0.01900045953934626
m00_joint_baseline,1X2,ALL,model,5,0.4,0.5,373,0.4387042261822304,0.48525469168900803,0.04655046550677766
m00_joint_baseline,1X2,ALL,model,6,0.5,0.6,40,0.5262812169001182,0.5,-0.0262812169001182
m00_joint_baseline,1X2,ALL,model,7,0.6,0.7,2,0.6021630483704122,0.5,-0.10216304837041223
m00_joint_baseline,1X2,ALL,model,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,1X2,ALL,model,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,1X2,ALL,model,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,1X2,ALL,market,1,0.0,0.1,15,0.0750368067661535,0.06666666666666667,-0.008370140099486834
m00_joint_baseline,1X2,ALL,market,2,0.1,0.2,112,0.1642668353413148,0.24107142857142858,0.07680459323011377
m00_joint_baseline,1X2,ALL,market,3,0.2,0.3,840,0.25776042573994257,0.2571428571428571,-0.0006175685970854494
m00_joint_baseline,1X2,ALL,market,4,0.3,0.4,347,0.3475734912735116,0.3400576368876081,-0.00751585438590352
m00_joint_baseline,1X2,ALL,market,5,0.4,0.5,258,0.4461330820988877,0.47674418604651164,0.030611103947623952
m00_joint_baseline,1X2,ALL,market,6,0.5,0.6,149,0.5386387091268434,0.48322147651006714,-0.05541723261677628
m00_joint_baseline,1X2,ALL,market,7,0.6,0.7,46,0.6361909158794056,0.5434782608695652,-0.09271265500984038
m00_joint_baseline,1X2,ALL,market,8,0.7,0.8,15,0.743394863763088,0.7333333333333333,-0.010061530429754773
m00_joint_baseline,1X2,ALL,market,9,0.8,0.9,2,0.8290213877706651,0.5,-0.32902138777066514
m00_joint_baseline,1X2,ALL,market,10,0.9,1.0,1,0.9165525429670892,1.0,0.08344745703291079
m00_joint_baseline,1X2,home,model,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,1X2,home,model,2,0.1,0.2,0,NaN,NaN,NaN
m00_joint_baseline,1X2,home,model,3,0.2,0.3,13,0.2730197336970272,0.07692307692307693,-0.19609665677395027
m00_joint_baseline,1X2,home,model,4,0.3,0.4,240,0.3618541324742455,0.35833333333333334,-0.0035207991409121897
m00_joint_baseline,1X2,home,model,5,0.4,0.5,304,0.4419594173535236,0.5032894736842105,0.06133005633068689
m00_joint_baseline,1X2,home,model,6,0.5,0.6,36,0.5269748826668741,0.5,-0.02697488266687409
m00_joint_baseline,1X2,home,model,7,0.6,0.7,2,0.6021630483704122,0.5,-0.10216304837041223
m00_joint_baseline,1X2,home,model,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,1X2,home,model,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,1X2,home,model,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,1X2,home,market,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,1X2,home,market,2,0.1,0.2,22,0.15778162061472642,0.13636363636363635,-0.021417984251090066
m00_joint_baseline,1X2,home,market,3,0.2,0.3,89,0.25663682671733473,0.2808988764044944,0.02426204968715967
m00_joint_baseline,1X2,home,market,4,0.3,0.4,148,0.35558730285975815,0.40540540540540543,0.04981810254564728
m00_joint_baseline,1X2,home,market,5,0.4,0.5,178,0.44816207715645123,0.4943820224719101,0.046219945315458866
m00_joint_baseline,1X2,home,market,6,0.5,0.6,107,0.5388822298014356,0.4953271028037383,-0.04355512699769731
m00_joint_baseline,1X2,home,market,7,0.6,0.7,35,0.6332182875840212,0.5428571428571428,-0.0903611447268784
m00_joint_baseline,1X2,home,market,8,0.7,0.8,13,0.7462348494322888,0.6923076923076923,-0.0539271571245965
m00_joint_baseline,1X2,home,market,9,0.8,0.9,2,0.8290213877706651,0.5,-0.32902138777066514
m00_joint_baseline,1X2,home,market,10,0.9,1.0,1,0.9165525429670892,1.0,0.08344745703291079
m00_joint_baseline,1X2,draw,model,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,1X2,draw,model,2,0.1,0.2,0,NaN,NaN,NaN
m00_joint_baseline,1X2,draw,model,3,0.2,0.3,595,0.25343065220040634,0.2571428571428571,0.003712204942450781
m00_joint_baseline,1X2,draw,model,4,0.3,0.4,0,NaN,NaN,NaN
m00_joint_baseline,1X2,draw,model,5,0.4,0.5,0,NaN,NaN,NaN
m00_joint_baseline,1X2,draw,model,6,0.5,0.6,0,NaN,NaN,NaN
m00_joint_baseline,1X2,draw,model,7,0.6,0.7,0,NaN,NaN,NaN
m00_joint_baseline,1X2,draw,model,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,1X2,draw,model,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,1X2,draw,model,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,1X2,draw,market,1,0.0,0.1,2,0.08153156303948728,0.5,0.4184684369605127
m00_joint_baseline,1X2,draw,market,2,0.1,0.2,21,0.1703640382685322,0.19047619047619047,0.020112152207658274
m00_joint_baseline,1X2,draw,market,3,0.2,0.3,553,0.2604806907328671,0.2603978300180832,-8.286071478391666e-5
m00_joint_baseline,1X2,draw,market,4,0.3,0.4,19,0.3083394003686288,0.21052631578947367,-0.09781308457915511
