model,model_run_id,portfolio_run_id,match_id,date,family,selection,odds,stake,pnl,payoff,p_model,p_market
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477123,2024-08-03,1X2_home,home,3.1455349338302168,0.010870609791630178,-0.010870609791630178,-1.0,0.40979317959180817,0.3171679729944784
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477123,2024-08-03,O/U 2.5_under_25,under_25,2.0760378560810446,0.006410529694760696,0.006760013176512289,1.0545170989594237,0.5151269438677797,0.4816867847909619
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477126,2024-08-03,1X2_home,home,4.155100640852063,0.014153310715881398,0.04376201731565865,3.0919986280350216,0.3671137650270553,0.2383213448924134
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477126,2024-08-03,1X2_draw,draw,3.5101483261017004,0.0026150409739104075,-0.0026150409739104075,-1.0,0.273762959542326,0.2821103500178704
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477126,2024-08-03,O/U 2.5_under_25,under_25,1.935,0.007711072130747194,-0.007711072130747194,-1.0,0.5619673663921233,0.5164345076438748
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477128,2024-08-03,1X2_home,home,2.835031767441645,0.012007833718403294,0.02159406120479844,1.7983311320928124,0.4420925041921155,0.3527166847445295
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477128,2024-08-03,1X2_draw,draw,3.7041536289331827,0.001080762089635067,-0.001080762089635067,-1.0,0.2570339271889006,0.2699572173105131
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477128,2024-08-03,O/U 2.5_under_25,under_25,2.1852561367163257,0.008143217147642361,-0.008143217147642361,-1.0,0.5068363455687706,0.4576122602738229
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477129,2024-08-03,1X2_home,home,7.137657359979854,0.014425401331397247,-0.014425401331397247,-1.0,0.2855646636780228,0.14010198999000736
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477129,2024-08-03,1X2_draw,draw,5.07565439799843,0.006870894091616659,-0.006870894091616659,-1.0,0.23349720590855946,0.19701893028696893
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477129,2024-08-03,O/U 2.5_under_25,under_25,2.552179576825943,0.000305075514502494,-0.000305075514502494,-1.0,0.41510584751610324,0.39182195840767015
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477131,2024-08-03,1X2_away,away,3.0722201408870693,0.009641353177519813,0.019579426115064857,2.0307757380693277,0.40323021000406145,0.3254975080370579
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477131,2024-08-03,1X2_draw,draw,4.126695948048459,0.001098378198566415,-0.001098378198566415,-1.0,0.2343651738643377,0.24232461334421948
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477131,2024-08-03,O/U 2.5_under_25,under_25,2.7686777657794246,0.0038797302128348375,-0.0038797302128348375,-1.0,0.3908767533904425,0.3611832378472851
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477132,2024-08-03,1X2_away,away,4.307789947823633,0.013705699282576436,-0.013705699282576436,-1.0,0.35644540464732977,0.23096760299088834
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477132,2024-08-03,1X2_draw,draw,3.9633916526138275,0.0032903960253510374,0.0095557174730126,2.904123819561551,0.24666796836996702,0.25103749657970326
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477132,2024-08-03,O/U 2.5_under_25,under_25,2.255421444455187,0.0010193302277276823,0.0012540952463333073,1.2303130155660833,0.44556653307244526,0.4422823514328366
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477132,2024-08-03,BTTS_btts_yes,btts_yes,1.74,0.0020345990413267235,0.0014754912247701398,0.7252,0.5839288340891058,0.5714285714285714
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477133,2024-08-03,1X2_away,away,2.67741700875978,0.0017532673751197694,0.0028821413056109245,1.6438686685845845,0.3709534329185315,0.3734943031766333
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477133,2024-08-03,1X2_home,home,2.8671416766361872,0.004414548654298246,-0.004414548654298246,-1.0,0.38145571141341755,0.3487794161512202
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477134,2024-08-03,1X2_away,away,3.7968694104192666,0.006418893699066572,-0.006418893699066572,-1.0,0.3255195962390938,0.2621657767386023
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477134,2024-08-03,O/U 2.5_under_25,under_25,2.2420906723818654,0.0015728029883954006,0.0019144926429526454,1.217248858934228,0.45587267853650204,0.44359702074250335
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477135,2024-08-03,1X2_away,away,3.4180258691789964,0.002917716483180756,-0.002917716483180756,-1.0,0.299726029199918,0.2925665393633191
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477135,2024-08-03,1X2_home,home,2.2653777293536703,0.004662812863274933,-0.004662812863274933,-1.0,0.45084465390677736,0.44142748780588914
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477135,2024-08-03,O/U 2.5_under_25,under_25,2.337142857142857,0.008321820929926697,0.010904914146575944,1.3104,0.47784733854563927,0.42787286063569685
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12477135,2024-08-03,BTTS_btts_yes,btts_yes,1.74,0.002046009068741405,-0.002046009068741405,-1.0,0.5507537268613777,0.5735294117647058
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12476632,2024-08-10,1X2_away,away,14.0,0.01379593045539126,-0.01379593045539126,-1.0,0.23462805921403185,0.07026259758694109
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12476632,2024-08-10,1X2_draw,draw,6.6,0.009106621474467115,-0.009106621474467115,-1.0,0.22854412265371937,0.149041873669269
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12476633,2024-08-10,1X2_away,away,3.7557421467495926,0.003804462895127798,0.010274436370931676,2.700627303814601,0.3017067252460764,0.26478650844563517
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12476633,2024-08-10,O/U 2.5_under_25,under_25,2.28,0.011088984291976927,0.013910021895855855,1.2543999999999997,0.5227763746716787,0.43842364532019706
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12476635,2024-08-10,1X2_away,away,3.8007022463551037,0.0005087744940239584,-0.0005087744940239584,-1.0,0.261464105166318,0.26270335620261337
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12476635,2024-08-10,1X2_home,home,2.18,0.0029626453784477496,0.003426003115636978,1.1564,0.4817880667392032,0.45800790644233835
