model,split,source,bin,lower,upper,n,predicted,observed
m05_joint_production_wealth,all,model,1,0.0,0.1,0,NaN,NaN
m05_joint_production_wealth,all,model,2,0.1,0.2,4,0.19137365988443836,0.25
m05_joint_production_wealth,all,model,3,0.2,0.3,775,0.2570866550941502,0.25161290322580643
m05_joint_production_wealth,all,model,4,0.3,0.4,624,0.3542045992541805,0.3269230769230769
m05_joint_production_wealth,all,model,5,0.4,0.5,892,0.45066546362608517,0.47197309417040356
m05_joint_production_wealth,all,model,6,0.5,0.6,567,0.5403449491494706,0.5396825396825397
m05_joint_production_wealth,all,model,7,0.6,0.7,37,0.6107900835491991,0.6756756756756757
m05_joint_production_wealth,all,model,8,0.7,0.8,0,NaN,NaN
m05_joint_production_wealth,all,model,9,0.8,0.9,0,NaN,NaN
m05_joint_production_wealth,all,model,10,0.9,1.0,0,NaN,NaN
m05_joint_production_wealth,all,betfair,1,0.0,0.1,15,0.0750368067661535,0.06666666666666667
m05_joint_production_wealth,all,betfair,2,0.1,0.2,112,0.1642668353413148,0.24107142857142858
m05_joint_production_wealth,all,betfair,3,0.2,0.3,842,0.25784190296482584,0.2589073634204275
m05_joint_production_wealth,all,betfair,4,0.3,0.4,423,0.35263651166012877,0.3546099290780142
m05_joint_production_wealth,all,betfair,5,0.4,0.5,732,0.45390510295866693,0.4672131147540984
m05_joint_production_wealth,all,betfair,6,0.5,0.6,633,0.5404438664702504,0.5244865718799369
m05_joint_production_wealth,all,betfair,7,0.6,0.7,122,0.6287503210666132,0.5655737704918032
m05_joint_production_wealth,all,betfair,8,0.7,0.8,17,0.7392234283302767,0.6470588235294118
m05_joint_production_wealth,all,betfair,9,0.8,0.9,2,0.8290213877706651,0.5
m05_joint_production_wealth,all,betfair,10,0.9,1.0,1,0.9165525429670892,1.0
m05_hierarchical_kappa,all,model,1,0.0,0.1,0,NaN,NaN
m05_hierarchical_kappa,all,model,2,0.1,0.2,3,0.18377563693741664,0.0
m05_hierarchical_kappa,all,model,3,0.2,0.3,780,0.25701416257837983,0.2512820512820513
m05_hierarchical_kappa,all,model,4,0.3,0.4,624,0.3546728013862788,0.3317307692307692
m05_hierarchical_kappa,all,model,5,0.4,0.5,884,0.450781236978398,0.4638009049773756
m05_hierarchical_kappa,all,model,6,0.5,0.6,567,0.5398894707187619,0.5485008818342152
m05_hierarchical_kappa,all,model,7,0.6,0.7,41,0.6110624178884552,0.6829268292682927
m05_hierarchical_kappa,all,model,8,0.7,0.8,0,NaN,NaN
m05_hierarchical_kappa,all,model,9,0.8,0.9,0,NaN,NaN
m05_hierarchical_kappa,all,model,10,0.9,1.0,0,NaN,NaN
m05_hierarchical_kappa,all,betfair,1,0.0,0.1,15,0.0750368067661535,0.06666666666666667
m05_hierarchical_kappa,all,betfair,2,0.1,0.2,112,0.1642668353413148,0.24107142857142858
m05_hierarchical_kappa,all,betfair,3,0.2,0.3,842,0.25784190296482584,0.2589073634204275
m05_hierarchical_kappa,all,betfair,4,0.3,0.4,423,0.35263651166012877,0.3546099290780142
m05_hierarchical_kappa,all,betfair,5,0.4,0.5,732,0.45390510295866693,0.4672131147540984
m05_hierarchical_kappa,all,betfair,6,0.5,0.6,633,0.5404438664702504,0.5244865718799369
m05_hierarchical_kappa,all,betfair,7,0.6,0.7,122,0.6287503210666132,0.5655737704918032
m05_hierarchical_kappa,all,betfair,8,0.7,0.8,17,0.7392234283302767,0.6470588235294118
m05_hierarchical_kappa,all,betfair,9,0.8,0.9,2,0.8290213877706651,0.5
m05_hierarchical_kappa,all,betfair,10,0.9,1.0,1,0.9165525429670892,1.0
m12_joint_hybrid_synergy,all,model,1,0.0,0.1,0,NaN,NaN
m12_joint_hybrid_synergy,all,model,2,0.1,0.2,3,0.19640169051638687,0.0
m12_joint_hybrid_synergy,all,model,3,0.2,0.3,781,0.2570846177994445,0.2496798975672215
m12_joint_hybrid_synergy,all,model,4,0.3,0.4,584,0.3511285547134033,0.3373287671232877
m12_joint_hybrid_synergy,all,model,5,0.4,0.5,916,0.4540692677348188,0.4574235807860262
m12_joint_hybrid_synergy,all,model,6,0.5,0.6,611,0.5355196785725775,0.5531914893617021
