model,fold,r_hat_max,ess_bulk_min,ess_tail_min,divergences,converged,runtime_seconds
m05_hierarchical_kappa,1,1.00577374709231,1178,946,0,true,473.3743563711643
m05_hierarchical_kappa,2,1.0078684775915385,1425,975,0,true,473.3743563711643
m05_hierarchical_kappa,3,1.006378556408196,1062,1167,0,true,473.3743563711643
m05_hierarchical_kappa,4,1.006962295300169,1187,960,0,true,473.3743563711643
m05_hierarchical_kappa,5,1.005877466627611,1096,1340,0,true,473.3743563711643
m05_hierarchical_kappa,6,1.0074186688043631,1222,1045,0,true,473.3743563711643
m05_hierarchical_kappa,7,1.0061665498714598,1209,1345,0,true,473.3743563711643
m05_hierarchical_kappa,8,1.0049860006493472,722,500,0,true,473.3743563711643
m05_hierarchical_kappa,9,1.0043185240753076,808,889,0,true,473.3743563711643
m05_hierarchical_kappa,10,1.0057666978590591,985,1380,0,true,473.3743563711643
m05_hierarchical_kappa,11,1.0064593940573532,1082,1186,0,true,473.3743563711643
m05_hierarchical_kappa,12,1.0051833000133732,924,1080,0,true,473.3743563711643
m05_hierarchical_kappa,13,1.00429477134171,901,945,0,true,473.3743563711643
m05_hierarchical_kappa,14,1.0069262452779142,1056,557,0,true,473.3743563711643
m05_hierarchical_kappa,15,1.0057015834640348,934,799,0,true,473.3743563711643
m05_hierarchical_kappa,16,1.0049872021517834,976,553,0,true,473.3743563711643
m05_hierarchical_kappa,17,1.0069694455928666,897,1066,0,true,473.3743563711643
m05_hierarchical_kappa,18,1.0049063356755457,774,991,0,true,473.3743563711643
m05_hierarchical_kappa,19,1.00528034863965,800,1162,0,true,473.3743563711643
m05_hierarchical_kappa,20,1.0042482642007422,1002,1421,0,true,473.3743563711643
m05_hierarchical_kappa,21,1.0042701712510946,925,1353,0,true,473.3743563711643
m05_hierarchical_kappa,22,1.006996832380985,1147,711,0,true,473.3743563711643
m05_hierarchical_kappa,23,1.0078736001046849,1211,1252,0,true,473.3743563711643
m05_hierarchical_kappa,24,1.0067258468866667,1113,1449,0,true,473.3743563711643
m05_hierarchical_kappa,25,1.0045195772793254,1342,1201,0,true,473.3743563711643
m05_hierarchical_kappa,26,1.0041691385913425,987,1078,0,true,473.3743563711643
m05_hierarchical_kappa,27,1.0067606532327427,975,1332,0,true,473.3743563711643
m05_hierarchical_kappa,28,1.0097442807788342,912,1107,0,true,473.3743563711643
m05_hierarchical_kappa,29,1.0038834069330203,1268,1401,0,true,473.3743563711643
m05_hierarchical_kappa,30,1.0061229528322229,1245,1497,0,true,473.3743563711643
m05_hierarchical_kappa,31,1.0056014985422081,1282,1536,0,true,473.3743563711643
m05_hierarchical_kappa,32,1.004991284749872,1311,1196,0,true,473.3743563711643
m05_hierarchical_kappa,33,1.007119956481873,1751,1593,0,true,473.3743563711643
m05_hierarchical_kappa,34,1.0071945629173937,1230,1282,0,true,473.3743563711643
m05_hierarchical_kappa,35,1.0052211020165007,1407,1486,0,true,473.3743563711643
m05_hierarchical_kappa,36,1.0049746645811628,1092,1274,0,true,473.3743563711643
