model,fold,n_teams,n_draws,kappa_global_mean,kappa_global_lo,kappa_global_hi,nu_mean,sigma_kappa_mean,sigma_kappa_lo,sigma_kappa_hi,p_sigma_gt_005,n_teams_separated,delta_max,delta_min
m05_joint_production_wealth,1,23,3200,1.1278174691209262,1.055708743553571,1.205672162477395,3.9147871789438504,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,2,25,3200,1.1047639833418645,1.0224037440036673,1.1946353024212413,3.8167993569853333,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,3,25,3200,1.090562026812456,1.0028650141404611,1.168915301224135,3.9205036931426815,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,4,25,3200,1.087414324524556,1.0030947650151112,1.1691410105137803,3.9522333961968554,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,5,25,3200,1.073490467510193,0.9835267124527123,1.146232569253659,3.9235231484077544,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,6,25,3200,1.081373911160516,1.0014400865565964,1.1606137779291907,3.591451989155297,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,7,25,3200,1.0759435772972932,0.9885799758492751,1.155393076312208,3.451520868231378,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,8,25,3200,1.0753278954517567,0.9929575947760721,1.1603871670092456,3.3349761783064866,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,9,25,3200,1.0731208067726572,0.9965294809607728,1.156534282748255,3.304493386907634,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,10,25,3200,1.0740223593620852,0.9940324638277334,1.1494656768656568,3.3214058225338623,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,11,25,3200,1.0968782727497408,1.0187007516541966,1.1782998265898004,3.4272530502376775,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,12,25,3200,1.1015767245932488,1.021732685777413,1.173769654049095,3.4254957120841696,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,13,25,3200,1.0835902300796947,1.0024434214602924,1.1580511562147315,3.459413431115836,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,14,25,3200,1.085471829445186,0.9979267300584687,1.162472847513917,3.4168215416498033,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,15,25,3200,1.0911306666852072,1.014260528695318,1.1693273128907944,3.4691028882484547,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,16,25,3200,1.0970163429573447,1.0191031741262564,1.1695788217995156,3.498187624038824,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,17,25,3200,1.0906622326158684,1.0097830057632682,1.166208367503119,3.4547121537810948,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,18,25,3200,1.0880352781520042,1.0074294675837134,1.1588049676001733,3.583407790832723,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,19,25,3200,1.1061160918406474,1.0318065309933524,1.1821078569772008,3.526612955939074,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,20,25,3200,1.1128148667545192,1.0408695396380028,1.1886565095814716,3.42808591602496,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,21,22,3200,1.1017268761044214,1.0235347584219177,1.1764970886065145,3.4483777065119114,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,22,23,3200,1.1056085794169161,1.0203793028122645,1.1870200923670842,3.354754460786681,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,23,23,3200,1.110900883054461,1.029466659029983,1.193354142230088,3.277364221104279,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,24,23,3200,1.1047239052381475,1.02006940505552,1.1914286455468628,3.2431004484021684,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,25,23,3200,1.1087800354682273,1.0262959688279476,1.1922498138497069,3.3258863238575724,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,26,23,3200,1.1126199141702835,1.0284516424297594,1.191523548493659,3.40705763474491,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,27,23,3200,1.109702401397381,1.0321295556344485,1.1957369250927103,3.485381348708377,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,28,23,3200,1.101519779437326,1.0220100286194866,1.178433952079457,3.5537061767737326,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,29,23,3200,1.0955016161430897,1.0192300769753317,1.1743531387221628,3.557314932841472,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,30,23,3200,1.0864848872355446,1.007266112645228,1.1640586074792196,3.5268532072983056,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,31,23,3200,1.0924347722609145,1.012640774973531,1.168531747448491,3.578514065007448,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,32,23,3200,1.1063900406509,1.0296401683417291,1.182854866029325,3.5420386939583124,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,33,23,3200,1.108496939648083,1.0325305167918686,1.186065652747501,3.549914394171061,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,34,23,3200,1.1182328476147165,1.041252270764482,1.1974036434167412,3.4429503999880455,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,35,23,3200,1.122698378811302,1.0398407234202365,1.203015570334137,3.444241510824396,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,36,23,3200,1.1311823608683163,1.054705209564346,1.2087648394501669,3.544953089532758,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,37,23,3200,1.1146534438019176,1.0430280104728646,1.1963832219110864,3.636512878713028,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,38,23,3200,1.120629959839806,1.0390475561218984,1.1901732479491176,3.7436062848314022,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,39,23,3200,1.1123498868037829,1.0391666552765777,1.1845341402189637,3.8214249269805554,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_joint_production_wealth,40,23,3200,1.1085679920296778,1.0387864867044476,1.1814986028816266,3.829455860212495,NaN,NaN,NaN,NaN,0,NaN,NaN
m05_hierarchical_kappa,1,23,3200,1.1269844162290525,1.048723313600835,1.2031680692844031,3.9109400411678066,0.04437169851461528,0.00012246906067594996,0.08925711645883866,0.3709375,0,0.015804957036634537,-0.01876109339022595
m05_hierarchical_kappa,2,25,3200,1.1034188795617814,1.0130402580771947,1.1852261515404523,3.819004376965822,0.04918666795763875,0.00014529701901358076,0.10046141161659229,0.4196875,0,0.023864990578959883,-0.02144243600374174
m05_hierarchical_kappa,3,25,3200,1.0896029024270453,1.0041875865415169,1.1723742429517683,3.9116730738966408,0.04719211638316944,2.5024910727328433e-8,0.09926500048153138,0.39375,0,0.022282990059775035,-0.016549738512694756
m05_hierarchical_kappa,4,25,3200,1.0860115055270612,1.0048337632824424,1.1634103159737186,3.943623149285705,0.04740196143482664,6.27376488777815e-6,0.0981582875514184,0.3975,0,0.025496629887936457,-0.01477530920616582
m05_hierarchical_kappa,5,25,3200,1.0725479623406162,0.989635241176113,1.1547581989249167,3.924987903686158,0.047376239113357824,0.00010738213934739015,0.09865580363385026,0.39875,0,0.023861370310389877,-0.013620306781605553
m05_hierarchical_kappa,6,25,3200,1.0810129314701549,1.004562954017466,1.1664689567019002,3.589083116191134,0.052200412422661116,4.823335824104471e-5,0.1053149105794869,0.4503125,0,0.029425723973415075,-0.018734153339963675
m05_hierarchical_kappa,7,25,3200,1.0752488368289297,0.9868126525050749,1.1560499435478353,3.446631844037824,0.051162155512393497,7.123634811260671e-5,0.10352410384377386,0.433125,0,0.028093104936887034,-0.01862362100065997
m05_hierarchical_kappa,8,25,3200,1.074732432566288,0.9901993401382541,1.1499967686564463,3.3205234308270635,0.053559446368237305,5.6413440402617e-5,0.10955708578555862,0.4553125,0,0.03130991299391118,-0.022596232498404145
m05_hierarchical_kappa,9,25,3200,1.073389334690699,0.9858702561230409,1.1526981993879506,3.3066399576234766,0.04732090305744416,3.444442815412222e-5,0.09928217550807869,0.3953125,0,0.024833529863924522,-0.020702615820380244
m05_hierarchical_kappa,10,25,3200,1.0727619399494894,0.9836858268387628,1.1530863450370892,3.3100755474596855,0.04778755444049732,3.4890693870580605e-6,0.09960513939478752,0.404375,0,0.025963653341851786,-0.02160841596941675
m05_hierarchical_kappa,11,25,3200,1.0963835240461455,1.018345081135496,1.1797246717207932,3.4216677872131407,0.04262963738814908,9.263128714598364e-5,0.08891465868753998,0.3478125,0,0.019619431806591873,-0.011778692373174401
m05_hierarchical_kappa,12,25,3200,1.1016621871083212,1.0204745259313999,1.1816715808763496,3.4215509148741843,0.04491405620663398,9.802797269291327e-6,0.0910815515001523,0.3725,0,0.02324316794026096,-0.016837330725069724
m05_hierarchical_kappa,13,25,3200,1.0834224544765305,1.0035222328133893,1.161948476457001,3.461586349170567,0.046817254878159215,8.221733444177647e-5,0.09426062579908719,0.40375,0,0.02624766765180048,-0.018246723950602128
m05_hierarchical_kappa,14,25,3200,1.08613158314034,1.0054540491453492,1.164953678516063,3.407309756816145,0.049865933652451705,1.1107327741708154e-5,0.1040086506482559,0.4175,0,0.0327917386170283,-0.022619302517610854
m05_hierarchical_kappa,15,25,3200,1.0919361504433305,1.0132645462469565,1.1707885665158586,3.464282724594575,0.049616902686805686,0.0003574990505149094,0.10218891409016526,0.4184375,0,0.028958148264011264,-0.02616326119781479
m05_hierarchical_kappa,16,25,3200,1.0954408235187132,1.0207917452455928,1.1739585866679154,3.4935625642074286,0.04835145808690276,9.299319779955752e-5,0.09733296007002619,0.415,0,0.027177287809287288,-0.021470350835208842
m05_hierarchical_kappa,17,25,3200,1.0897619400924317,1.0119959152059765,1.1654121293310806,3.4537321582904372,0.050957242287430475,0.00017111546293516644,0.10246188153964214,0.441875,0,0.026087644898602765,-0.021445188647914684
m05_hierarchical_kappa,18,25,3200,1.0885031133366099,1.0157227287284578,1.1564416771242865,3.5842969996454666,0.0513113579428352,2.3198317939396094e-5,0.10275340846421073,0.4425,0,0.0266147288564841,-0.024681622413455458
m05_hierarchical_kappa,19,25,3200,1.106779773371441,1.0308350011780765,1.1831388937788176,3.5208967682579204,0.05008521996689539,4.248361824014684e-5,0.10272919494978179,0.428125,0,0.02538094897305227,-0.027439837041098897
m05_hierarchical_kappa,20,25,3200,1.1129977878880881,1.0367182246809588,1.1895708584744515,3.4228760995210425,0.05126744190711957,2.665111441890649e-6,0.103423275640077,0.4475,0,0.02433681167371322,-0.0317182951690298
m05_hierarchical_kappa,21,22,3200,1.1018537262527905,1.0246451136888537,1.1768450863964623,3.453806124482562,0.04799128353076432,0.0002446689813922312,0.09762906408481041,0.4171875,0,0.020945514478421523,-0.03162751502037842
m05_hierarchical_kappa,22,23,3200,1.1043644770485834,1.012498470372766,1.1837430120547334,3.3552967518073706,0.04790935418172861,3.2055547120856274e-5,0.09857763087717905,0.41,0,0.017045470349629343,-0.03007899177807124
