model,config,season,n_bets,stake,pnl,flat_roi_pct,win_rate_pct
m05_joint_production_wealth,A_experiment06_baseline,24/25,681,3.3748088444273576,0.6217882183789332,18.424398152377105,35.82966226138032
m05_joint_production_wealth,A_experiment06_baseline,25/26,774,4.652642990379616,0.3129717642621672,6.72675219029929,33.20413436692506
m05_hierarchical_kappa,A_experiment06_baseline,24/25,679,3.3252529315598207,0.6201556584680613,18.649879309396074,35.34609720176731
m05_hierarchical_kappa,A_experiment06_baseline,25/26,770,4.56068887234364,0.28230097277455174,6.189875711242792,33.116883116883116
m12_joint_hybrid_synergy,A_experiment06_baseline,24/25,690,3.573893618752559,0.7020091870817705,19.642699586754954,35.07246376811594
m12_joint_hybrid_synergy,A_experiment06_baseline,25/26,772,4.90124773860537,0.2706687377631597,5.5224455526130445,33.93782383419689
m12_hierarchical_kappa,A_experiment06_baseline,24/25,679,3.478117077209253,0.6984046319910341,20.07996328149526,35.93519882179676
m12_hierarchical_kappa,A_experiment06_baseline,25/26,770,4.793391484838477,0.24562392250596282,5.124219944956981,34.15584415584416
m05_joint_production_wealth,B_canonical_production,24/25,603,3.0377918256386134,0.630598283778255,20.758442973480868,34.49419568822554
m05_joint_production_wealth,B_canonical_production,25/26,639,4.067757089062147,0.3276993415741515,8.056020416147934,30.985915492957744
m05_hierarchical_kappa,B_canonical_production,24/25,600,3.013570698043553,0.6305557441842691,20.92387427955925,33.83333333333333
m05_hierarchical_kappa,B_canonical_production,25/26,636,4.002164295083789,0.301816186831123,7.54132425802385,30.974842767295595
m12_joint_hybrid_synergy,B_canonical_production,24/25,618,3.2711915958071405,0.7116984089329271,21.756549198926432,33.17152103559871
m12_joint_hybrid_synergy,B_canonical_production,25/26,649,4.390634866056175,0.32861702142530685,7.484498972251875,32.04930662557781
m12_hierarchical_kappa,B_canonical_production,24/25,613,3.204779677087521,0.712881245300604,22.24431371670657,34.257748776508976
m12_hierarchical_kappa,B_canonical_production,25/26,651,4.3140606503927685,0.30404071706710967,7.047669045622449,32.25806451612903
