container,market_key,direction,m12_gate,m05_gate,agree,m12_oos_kelly,m05_oos_kelly
inv,1X2,away,false,false,true,-11.40322551651565,-8.95794820376816
inv,1X2,draw,true,true,true,17.242263267623187,21.384290459117413
inv,1X2,home,false,false,true,-1.8921641759562848,-5.9183911277964985
inv,BTTS,btts_no,false,true,false,-1.1404361115011223,9.408252347322165
inv,BTTS,btts_yes,false,false,true,-33.03846061250106,-34.25817742055432
inv,OU0.5,over_05,false,false,true,7.929280087559809,8.164340173296662
inv,OU0.5,under_05,false,false,true,-100.0,-100.0
inv,OU1.5,over_15,true,true,true,9.093711669839726,17.584006869374637
inv,OU1.5,under_15,false,false,true,-20.00456071692365,-8.997120262125868
inv,OU2.5,over_25,false,false,true,-37.988971269078995,-32.91583279869589
inv,OU2.5,under_25,false,false,true,49.78278265531201,53.144177621367156
inv,OU3.5,over_35,false,false,true,33.03678733144905,-12.233139007005947
inv,OU3.5,under_35,false,false,true,-29.69359210932934,-27.33772249440756
inv_anch,1X2,away,false,false,true,-11.215585586309153,-8.700686042932574
inv_anch,1X2,draw,true,true,true,16.644735087947765,20.550193485404332
inv_anch,1X2,home,false,false,true,-1.6415472735522565,-5.330285204526864
inv_anch,BTTS,btts_no,false,true,false,-2.4712609075059446,7.176207832465126
inv_anch,BTTS,btts_yes,false,false,true,-35.81652036940308,-41.036490182596864
inv_anch,OU0.5,over_05,false,false,true,7.983355764142993,8.3483429615458
inv_anch,OU0.5,under_05,false,false,true,-100.0,-100.0
inv_anch,OU1.5,over_15,true,true,true,8.754377054326794,19.46935347496428
inv_anch,OU1.5,under_15,false,false,true,-19.64303278015923,-10.412247534466182
inv_anch,OU2.5,over_25,false,false,true,-38.3773321833261,-34.43352458107193
inv_anch,OU2.5,under_25,false,false,true,48.584659221083726,52.12028627507001
inv_anch,OU3.5,over_35,false,false,true,32.9657665677809,-9.709347658365072
inv_anch,OU3.5,under_35,false,false,true,-30.149061025675625,-27.93991638895571
raw,1X2,away,false,false,true,-5.569578533800887,-3.967511535189922
raw,1X2,draw,false,false,true,12.49266562720366,13.472753486067504
raw,1X2,home,false,false,true,-0.5801549142019646,-4.216792661289351
raw,BTTS,btts_no,false,false,true,-6.9129253989914705,-3.0146212892574913
raw,BTTS,btts_yes,false,false,true,-19.5619249785081,-16.324017007994637
raw,OU0.5,over_05,false,false,true,6.748695232466131,2.3294258163425647
raw,OU0.5,under_05,false,false,true,-100.0,-100.0
raw,OU1.5,over_15,false,true,false,1.2017974310300938,10.0873794639396
raw,OU1.5,under_15,false,false,true,-28.96704815486483,-15.460833009914369
raw,OU2.5,over_25,false,false,true,-10.973072811357481,-14.84034448955055
raw,OU2.5,under_25,false,false,true,42.70249415152642,46.77733495885755
raw,OU3.5,over_35,true,false,false,57.42433186271698,-11.878120876109096
raw,OU3.5,under_35,false,false,true,-24.975494597279383,-23.612059199026667
std,1X2,away,false,false,true,2.5582192550757092,1.8677350312336791
std,1X2,draw,true,false,false,8.075452855285423,7.261141429488648
std,1X2,home,true,false,false,5.387336836084251,1.195821664851714
std,BTTS,btts_no,false,false,true,-7.750014814155444,-6.045549339252422
std,BTTS,btts_yes,false,false,true,-20.541797896828378,-17.431553669411528
std,OU0.5,over_05,false,false,true,8.441999218355663,7.6454071432565005
std,OU0.5,under_05,false,false,true,-66.77641607070113,-100.0
std,OU1.5,over_15,true,true,true,3.8953954354364426,12.32748039376698
std,OU1.5,under_15,false,false,true,-61.37692541797737,-47.606364263333205
std,OU2.5,over_25,false,false,true,-2.39694085508788,-17.282809040127958
std,OU2.5,under_25,false,true,false,32.493611921357484,35.063478085893394
std,OU3.5,over_35,false,false,true,57.96816266138858,-2.8075636452235813
std,OU3.5,under_35,false,false,true,-25.39042123190871,-22.82524013383458
