container,fitted_on,scored_on,trust,lambda,cap,return_pct,sharpe,mdd,oos_return,oos_sharpe,oos_mdd
raw,m12,m12,flat_0.40,18.0,0.25,147.76340380506022,1.1703087297803456,-28.959442635720258,6.107606649286956,0.15517709249207243,-28.959442635720233
raw,m12,m05,flat_0.40,18.0,0.25,121.72508704825785,1.0859888956455332,-28.060869466818538,9.835665720452136,0.25274811580749795,-28.060869466818545
raw,m05,m12,tier_0.70_r1.4,15.0,0.25,268.7056864573686,1.4949951524478515,-23.97184267612561,44.12705446725618,0.8223197276327273,-23.97184267612563
raw,m05,m05,tier_0.70_r1.4,15.0,0.25,224.25757325556157,1.448862130982038,-24.27185926659065,42.03836010480258,0.833093854657907,-24.271859266590628
inv,m12,m12,tier_1.00_r1.4,8.0,0.25,250.12725450180335,1.6485529937391885,-20.451580635552112,38.01316772709284,0.8546970663383356,-20.451580635552116
inv,m12,m05,tier_1.00_r1.4,8.0,0.25,247.46682440460498,1.835458845879963,-18.27006470866592,51.711135137856076,1.2137739745396767,-18.270064708665924
inv,m05,m12,tier_1.00_r1.4,8.0,0.25,250.12725450180335,1.6485529937391885,-20.451580635552112,38.01316772709284,0.8546970663383356,-20.451580635552116
inv,m05,m05,tier_1.00_r1.4,8.0,0.25,247.46682440460498,1.835458845879963,-18.27006470866592,51.711135137856076,1.2137739745396767,-18.270064708665924
std,m12,m12,flat_0.80,8.0,0.2,220.99283328908368,1.3178967944125748,-27.137373745673283,26.94799419492748,0.5580063229105762,-24.51158310261965
std,m12,m05,flat_0.80,8.0,0.2,180.8771039590873,1.1730722723496325,-28.938848475301736,20.948164114759994,0.4419539604096424,-28.938848475301743
std,m05,m12,flat_0.80,10.0,0.25,165.9855744309051,1.2789671166242353,-26.151558441693844,22.661390849428663,0.5415586544423099,-23.531683875361654
std,m05,m05,flat_0.80,10.0,0.25,130.44481078257712,1.0929283461016535,-28.11570887102982,14.186979634335684,0.34751469978675165,-28.115708871029824
inv_anch,m12,m12,tier_1.00_r1.4,8.0,0.25,255.2589575550459,1.6477646973959026,-20.78952250893433,38.24629028939683,0.8481894164127206,-20.78952250893434
inv_anch,m12,m05,tier_1.00_r1.4,8.0,0.25,254.6038052014425,1.8326021274265345,-18.429439516516023,52.832293462171556,1.2117990237365837,-18.429439516516
inv_anch,m05,m12,tier_1.00_r1.4,8.0,0.25,255.2589575550459,1.6477646973959026,-20.78952250893433,38.24629028939683,0.8481894164127206,-20.78952250893434
inv_anch,m05,m05,tier_1.00_r1.4,8.0,0.25,254.6038052014425,1.8326021274265345,-18.429439516516023,52.832293462171556,1.2117990237365837,-18.429439516516
