model,source,bin,lower,upper,n,predicted,observed
G1 m00_baseline,model,1,0.0,0.1,0,NaN,NaN
G1 m00_baseline,model,2,0.1,0.2,0,NaN,NaN
G1 m00_baseline,model,3,0.2,0.3,1190,0.2457054192299267,0.2823529411764706
G1 m00_baseline,model,4,0.3,0.4,0,NaN,NaN
G1 m00_baseline,model,5,0.4,0.5,557,0.4918097695379213,0.48473967684021546
G1 m00_baseline,model,6,0.5,0.6,1152,0.5083961105938609,0.4739583333333333
G1 m00_baseline,model,7,0.6,0.7,0,NaN,NaN
G1 m00_baseline,model,8,0.7,0.8,0,NaN,NaN
G1 m00_baseline,model,9,0.8,0.9,0,NaN,NaN
G1 m00_baseline,model,10,0.9,1.0,0,NaN,NaN
G1 m00_baseline,betfair,1,0.0,0.1,15,0.0750368067661535,0.06666666666666667
G1 m00_baseline,betfair,2,0.1,0.2,112,0.1642668353413148,0.24107142857142858
G1 m00_baseline,betfair,3,0.2,0.3,842,0.25784190296482584,0.2589073634204275
G1 m00_baseline,betfair,4,0.3,0.4,423,0.35263651166012877,0.3546099290780142
G1 m00_baseline,betfair,5,0.4,0.5,732,0.45390510295866693,0.4672131147540984
G1 m00_baseline,betfair,6,0.5,0.6,633,0.5404438664702504,0.5244865718799369
G1 m00_baseline,betfair,7,0.6,0.7,122,0.6287503210666132,0.5655737704918032
G1 m00_baseline,betfair,8,0.7,0.8,17,0.7392234283302767,0.6470588235294118
G1 m00_baseline,betfair,9,0.8,0.9,2,0.8290213877706651,0.5
G1 m00_baseline,betfair,10,0.9,1.0,1,0.9165525429670892,1.0
G1 m05_production_wealth,model,1,0.0,0.1,0,NaN,NaN
G1 m05_production_wealth,model,2,0.1,0.2,0,NaN,NaN
G1 m05_production_wealth,model,3,0.2,0.3,1190,0.23360789439117824,0.2823529411764706
G1 m05_production_wealth,model,4,0.3,0.4,0,NaN,NaN
G1 m05_production_wealth,model,5,0.4,0.5,557,0.449307744072989,0.4829443447037702
G1 m05_production_wealth,model,6,0.5,0.6,1152,0.5414424400239217,0.4748263888888889
G1 m05_production_wealth,model,7,0.6,0.7,0,NaN,NaN
G1 m05_production_wealth,model,8,0.7,0.8,0,NaN,NaN
G1 m05_production_wealth,model,9,0.8,0.9,0,NaN,NaN
G1 m05_production_wealth,model,10,0.9,1.0,0,NaN,NaN
G1 m05_production_wealth,betfair,1,0.0,0.1,15,0.0750368067661535,0.06666666666666667
G1 m05_production_wealth,betfair,2,0.1,0.2,112,0.1642668353413148,0.24107142857142858
G1 m05_production_wealth,betfair,3,0.2,0.3,842,0.25784190296482584,0.2589073634204275
G1 m05_production_wealth,betfair,4,0.3,0.4,423,0.35263651166012877,0.3546099290780142
G1 m05_production_wealth,betfair,5,0.4,0.5,732,0.45390510295866693,0.4672131147540984
G1 m05_production_wealth,betfair,6,0.5,0.6,633,0.5404438664702504,0.5244865718799369
G1 m05_production_wealth,betfair,7,0.6,0.7,122,0.6287503210666132,0.5655737704918032
G1 m05_production_wealth,betfair,8,0.7,0.8,17,0.7392234283302767,0.6470588235294118
G1 m05_production_wealth,betfair,9,0.8,0.9,2,0.8290213877706651,0.5
G1 m05_production_wealth,betfair,10,0.9,1.0,1,0.9165525429670892,1.0
G2 m00_negbin_baseline,model,1,0.0,0.1,0,NaN,NaN
G2 m00_negbin_baseline,model,2,0.1,0.2,0,NaN,NaN
G2 m00_negbin_baseline,model,3,0.2,0.3,682,0.25497870479615103,0.24780058651026393
G2 m00_negbin_baseline,model,4,0.3,0.4,662,0.34738422796927837,0.33081570996978854
G2 m00_negbin_baseline,model,5,0.4,0.5,990,0.4546700317440445,0.46060606060606063
G2 m00_negbin_baseline,model,6,0.5,0.6,563,0.5271344681070903,0.5435168738898757
G2 m00_negbin_baseline,model,7,0.6,0.7,2,0.6170105939068584,1.0
